Job Title,Job URL,Company,Location,Job Description,required_skills
Junior IT Application Staff,https://id.jobstreet.com/id/job/91360474?type=standard&ref=search-standalone&origin=cardTitle#sol=12f915a2f9ecbf0aa24d296e9c98ef11b824e924,PT Honda Trading Indonesia,Jakarta Pusat,"Job Desc: | Provide application support and assist users in resolving system-related issues | Monitor system performance and ensure system availability | Perform basic troubleshooting and escalate complex issues when necessary | Support user account management and IT security compliance | Assist in gathering user requirements and analyzing business processes. | Supports system development, testing (SIT/UAT), and documentation preparation. | Coordinate with developers, users and vendor to support project implementation and upgrades. | Prepare system status and issue report for the IT Department Manager | Job qualificatation: | Bachelor’s degree in information systems, information technology, computer science or a related field from a repubtable university | Fresh graduate or 1-2 years of experience in IT application support or a related area. | Basic technical knowledge of Microsoft office, programming languages, databases, system integration and digitalization concepts. | Ability to perform basic troubleshooting, system monitoring, and optimization tasks. | Good communication and collaboration skills, with the ability to support users and resolve basic IT issues | Basic understanding of requirement gathering, analysis, and documentation | Ability to translate business requirements into clear technical specification under guidance from senior team members. | Familiar with process documentation, specification writing, and knowledge management practices. | Good organizational skills and ability to manage multiple tasks and meet deadlines","[""Troubleshooting""]"
IT Officer,https://id.jobstreet.com/id/job/91843481?type=standard&ref=search-standalone&origin=cardTitle#sol=ac2630476b0c8e1016b80a815571fa263a5cca35,PT Victoria Sekuritas Indonesia,Jakarta Selatan,"Job Description: | 1. Troubleshooting perangkat IT (hardware, printer, LAN, Wi-Fi) dan jaringan (network). | 2. Melakukan backup rutin terhadap server, system, dan database (Windows Server dan SQL Server). | 3. Menjadi penghubung antara user dan vendor IT, termasuk menganalisis kebutuhan teknis dan menyampaikannya dengan jelas. | 4. Setting dan konfigurasi router, serta membuat dan mendokumentasikan topologi jaringan. | 5. Implementasi dan deployment system baru, baik dari sisi server maupun user. | 6. Instalasi dan konfigurasi server (Windows Server), serta instalasi database (SQL Server) | 7. Dokumentasi teknis dan administrasi infrastruktur IT | Mandatory Requirement: | 1. Minimal Pendidikan S1 di bidang Teknologi Informasi atau bidang terkait. | 2. Pengalaman minimal 1 tahun dalam peran IT Support/Infrastruktur/Network Administrator. | 3. Menguasai Windows Server (konfigurasi dasar) dan SQL Server (backup/restore, konfigurasi dasar) | 4. Mampu melakukan konfigurasi jaringan dan perangkat seperti Mikrotik atau Cisco | 5. Bersedia bekerja di luar jam kantor jika dibutuhkan | 6. Terorganisir dan rapi dalam menyimpan dokumentasi serta file teknis. | 7. Terbiasa menggunakan Microsoft Office (Excel, Word, Powerpoint) minimal pada level menengah. | 8. Cepat belajar dan mau berkembang mengikuti kebutuhan system yang terus berubah. | 9. Mampu bekerja di bawah tekanan dan mengatur prioritas sesuai deadline. | 10. Memiliki kemampuan komunikasi yang baik, mampu bekerja dalam tim, dan pribadi yang menyenangkan. | Nilai Tambah: | 1. Memiliki sertifikasi CCNA, MTCNA, atau setara | 2. Memiliki pengalaman atau pemahaman dasar tentang system Linux | 3. Pernah terlibat dalam project implementasi system atau infrastruktur TI berskala kecil-menengah","[""SQL"", ""Linux"", ""Cisco"", ""CCNA"", ""Excel"", ""Troubleshooting""]"
IT Technical Support,https://id.jobstreet.com/id/job/91834171?type=standard&ref=search-standalone&origin=cardTitle#sol=ed9e22e8910ac5f40a487fc19eb5da3a01acae22,PT Valdo Sumber Daya Mandiri,Jakarta Raya,"As the first level for resolving problems related to PC Desktop/Laptop (Hardware & Software) | Installing & configuring Windows OS and supporting applications for PC Desktop/Laptop. | Installing & configuring Printers, Scanners and other PC Desktop Devices. | Ensure that the PC Desktop/Laptop has standard security applications installed | Ensure that the PC Desktop/Laptop has implemented patch updates and required hardening configuration according | Ensure that the each of the security agent is always updated and connected to the server. | Handle escalation ticket for any end user computing devices to provide necessary troubleshooting and escalation according to SLA | Conduct escalation on End user computing repairs & warranty claims to the Vendor | Maintain end user computing device Inventory and track asset usage | Minimum D3 on IT or related field | Minimum have 2 years experience related IT Helpdesk & IT Technical Support. | Have experience in Banking Industry is advantage. | Familiar with Endpoint devices (PC, Laptop, Printers ) for installation, configuration and troubleshooting. | Have good communication in Bahasa & English | Customer oriented | Strong analytical  and problem solving skills.","[""Troubleshooting""]"
IT Application Staff,https://id.jobstreet.com/id/job/91482779?type=standard&ref=search-standalone&origin=cardTitle#sol=a2fb4fd87b67d1e67968c043d3cbb2904ed96f57,ASRI (a subsidiary of Agung Sedayu Group),Jakarta Utara,"Requirements: | Min. Bachelor’s degree in Information Systems, Computer Science, or related field. | Min. 1–3 years of experience in IT support, application support, or ERP support (fresh graduates are welcome to apply). | Strong understanding of ERP systems (SAP / Oracle / Dynamics 365 / Odoo) and business processes. | Basic knowledge of SQL for data validation and troubleshooting. | Familiarity with Active Directory and basic server operations. | Experience using ticketing systems and understanding SLA management. | Strong analytical, problem-solving, and communication skills with the ability to work collaboratively. | Responsibilities: | Provide daily operational support for ERP systems and business applications through a ticketing system in accordance with SLA. | Ensure system stability by monitoring ERP and supporting applications performance. | Manage and monitor corporate application licenses and ensure compliance. | Perform user troubleshooting related to UAT, Active Directory, and application systems. | Provide support and maintenance for corporate email systems (Outlook, webmail, mobile). | Handle system incidents (major and minor), including analysis, resolution, and documentation. | Collaborate with internal IT teams (infrastructure, database, vendors) to ensure smooth system operations.","[""SQL"", ""Oracle"", ""Troubleshooting""]"
Customer Service and Monitoring Staff,https://id.jobstreet.com/id/job/91425654?type=standard&ref=search-standalone&origin=cardTitle#sol=cbcc9c3f8d5c3c26e21d67d3dacbf3e5e6a443f1,Enam Pilar Selaras,Serpong,"Intro | Kami sedang mencari | CS & Monitoring Staff | yang teliti, responsif, dan memiliki rasa tanggung jawab tinggi untuk bergabung dengan tim kami. Kandidat ideal akan berperan dalam memastikan kelancaran operasional harian melalui monitoring sistem secara real-time serta menangani kebutuhan dan kendala pelanggan melalui komunikasi yang efektif. Anda akan menjadi bagian penting dalam menjaga kualitas layanan dan stabilitas operasional bisnis kami. | Job Technicalities | Jam Kerja | Sistem kerja menggunakan pola shift (24 jam operasional) dengan pembagian waktu Pagi (07.00–14.00), Siang (14.00–21.00), dan Malam (21.00–07.00). Karyawan bekerja 5-6 hari dalam seminggu, dengan hari libur yang diatur secara bergiliran oleh manajemen | Insentif | Insentif berbasis kinerja yang menarik untuk menghargai pencapaian luar biasa + uang lembur | Tunjangan | Kartu akses parkir gratis | Customer Service | Melayani pertanyaan, permintaan, dan keluhan klien secara responsif melalui saluran komunikasi yang tersedia. | Memastikan setiap interaksi klien diselesaikan dengan cepat, akurat, dan profesional. | Menjaga komunikasi aktif dengan klien untuk memastikan kepuasan dan retensi. | Menangani dan mengeskalasi permasalahan klien sesuai prosedur yang berlaku. | Monitoring | Memproses transaksi dan permintaan harian melalui sistem dan platform digital perusahaan. | Memantau alur transaksi untuk memastikan tidak ada gangguan atau keterlambatan dalam operasional. | Berkoordinasi dengan Production Manager untuk mendukung kelancaran operasional shift. | Mendokumentasikan aktivitas harian dan melaporkan anomali atau isu operasional kepada atasan. | Menjaga keakuratan data dan memastikan setiap entri sistem dilakukan secara tepat dan tepat waktu. | Qualifications | Minimal lulusan SMA/SMK, Fresh Graduate dipersilakan melamar. | Teliti, disiplin, dan mampu bekerja dalam sistem shift. | Mampu bekerja di bawah tekanan dan dalam lingkungan kerja yang cepat (fast-paced). | Memiliki kemampuan komunikasi yang baik, terutama dalam menangani pelanggan melalui chat. | Responsif, solutif, dan memiliki kemampuan problem solving yang baik. | Terbiasa menggunakan komputer dan sistem digital. | Mampu bekerja secara individu maupun dalam tim. | Memiliki tanggung jawab tinggi dan konsistensi dalam bekerja. | Training and Employment Conditions | Kandidat akan menjalani periode | training and probation | selama 3 bulan untuk mengembangkan keterampilan dan menunjukkan kesesuaian mereka dengan peran tersebut. Jika kinerja selama periode percakapan dianggap tidak memadai, maka pekerjaan akan dihentikan. Selain itu, jika pada akhir bulan manapun selama periode percakapan 3 bulan, perusahaan menilai bahwa kandidat tidak cocok dengan peran tersebut, perusahaan berhak untuk mengakhiri pekerjaan pada waktu tersebut. | Setelah berhasil menyelesaikan fase percakapan, kandidat akan ditawarkan kontrak kerja, biasanya untuk 1 tahun, dengan peluang perpanjangan atau dapat ditentukan lebih lanjut berdasarkan kinerja dan faktor lainnya.",[]
IT System Infrastructure Officer,https://id.jobstreet.com/id/job/91450697?type=standard&ref=search-standalone&origin=cardTitle#sol=f3b678d3f52f8e6101b51f26ec1ab856589aff98,PT Mulia Mega Makmur (JD Toyota),Jakarta Utara,"Job Description | Maintain the security, regular updates, and smooth operation of all systems and infrastructures. | Manage company facilities, systems, and operational devices to ensure optimal functionality. | Handle troubleshooting activities and resolve user issues promptly. | Coordinate with external vendors regarding facility needs, system requirements, and device procurement or maintenance. | Conduct asset stock opname in accordance with company standards and documentation procedures. | Job Qualifications | Bachelor’s degree in IT, Computer Science, or related field. | 2+ years of experience in similar field (IT support, network/ system operations). | Good knowledge in network, technology, system security, and server administration. | Familiar with IT assets, device support, and documentation. | Strong troubleshooting and problem-solving skills. | Good communication, able to work both independently and in a team. | Detail-oriented, proactive, able to manage multiple tasks with continuous improvement attitude. | Benefits of Working at PT Mulia Mega Makmur (JD Toyota) | Basic Salary | Meal & Transportation Allowances | Religious Holiday Allowance (THR) | Health & Employment Social Security (BPJS Kesehatan & Ketenagakerjaan) | Training & Development Programs | Career Path | Supportive and Collaborative Work Environment","[""Troubleshooting""]"
IT Support,https://id.jobstreet.com/id/job/91777132?type=standard&ref=search-standalone&origin=cardTitle#sol=61080447bc1608abf615319dfe7e6f4371e33c19,PT. MITRA PELITA TERANGI BANGSA,Tangerang Selatan,"PT Mitra Pelita Terangi Bangsa adalah perusahaan terkemuka di bidang Call Center & Layanan Konsumen yang berkomitmen menghadirkan layanan berkualitas tinggi dan berorientasi pada kepuasan pelanggan. Kami percaya bahwa sumber daya manusia adalah aset utama perusahaan, sehingga kami terus membangun lingkungan kerja yang profesional, suportif, dan penuh peluang pengembangan karier. | Tanggung Jawab Utama : | Memastikan seluruh infrastruktur jaringan (LAN, WAN, internet) berjalan dengan optimal tanpa gangguan. | Melakukan monitoring secara berkala terhadap performa jaringan dan segera menangani apabila terjadi kendala (troubleshooting). | Menyusun laporan terkait kondisi dan performa jaringan secara rutin. | Mengelola seluruh aset IT perusahaan, termasuk perangkat keras (laptop, PC, headset, router, dll) dan melakukan pencatatan keluar-masuk aset secara akurat dan terupdate. | Menangani proses instalasi, konfigurasi, distribusi perangkat kepada karyawan dan melakukan maintenance dan pergantian perangkat apabila diperlukan. | Melakukan pengelolaan akun softphone untuk kebutuhan operasional call center / desk collection, termasuk pembuatan, perubahan, penonaktifan akun karyawan dan memastikan seluruh akun aktif dan dapat digunakan dengan baik tanpa kendala. | Menangani permintaan user (ticketing) dan memberikan edukasi dasar kepada user terkait penggunaan perangkat dan sistem. | Kualifikasi : | Minimal pendidikan D3/S1 di bidang IT atau sejenisnya | Memiliki pengalaman sebagai IT Support (diutamakan di industri fintech atau call center) | Memahami dasar jaringan, troubleshooting hardware/software | Familiar dengan sistem softphone dan manajemen user account | Memiliki kemampuan komunikasi yang baik dan responsif | Bersedia bekerja 6 hari kerja (Senin – Sabtu) sesuai jam operasional perusahaan.","[""Troubleshooting""]"
Database Staff/Data Collection (Coal Mining),https://id.jobstreet.com/id/job/91500348?type=standard&ref=search-standalone&origin=cardTitle#sol=c0915ca12a3977285455cf45362f0149867ecef2,Perusahaan Dirahasiakan,Jakarta Selatan,"Tujuan Jabatan | Mengelola proses pengumpulan, pengolahan, validasi, dan pengarsipan data administrasi secara akurat dan sistematis dalam lingkup Marketing, Trading, dan Logistik guna mendukung ketersediaan data yang reliable untuk kebutuhan operasional dan pengambilan keputusan. | Deskripsi Pekerjaan | Data Collection: | Melakukan penyusunan dan pengelolaan dokumen administrasi sesuai dengan prosedur yang berlaku. | Melakukan proses input, update, formatting, serta pengarsipan data secara sistematis dan terstruktur. | Memastikan keakuratan dan kelengkapan data yang dikumpulkan dari berbagai sumber (internal maupun eksternal). | Menyusun dan menyajikan laporan terkait pengumpulan dan pengolahan data secara berkala. | Melakukan koordinasi dengan pihak internal maupun eksternal dalam proses pengumpulan dan konsolidasi data. | Melakukan pengecekan dan validasi data untuk memastikan konsistensi dan integritas data. | Database Management: | Mengelola database perusahaan agar terorganisir, mudah diakses, dan terupdate secara berkala. | Melakukan maintenance database termasuk data cleaning, data validation, dan data backup. | Mengidentifikasi dan memperbaiki kesalahan data ( | data discrepancy | ) dalam sistem. | Mendukung kebutuhan data untuk keperluan analisa operasional maupun pelaporan manajemen. | System & Policy: | Menjalankan proses pengelolaan data sesuai dengan standar operasional prosedur (SOP) dan kebijakan perusahaan. | Memberikan masukan terkait pengembangan sistem pengelolaan data untuk meningkatkan efisiensi kerja. | Memastikan keamanan dan kerahasiaan data perusahaan. | Kualifikasi: | Minimal D3/S1 (Manajemen, Administrasi, Sistem Informasi, atau bidang terkait). | Pengalaman minimal 1–2 tahun di bidang administrasi data / data collection / database management. | Mampu mengoperasikan Microsoft Office (terutama Excel) dengan baik. | Teliti, detail-oriented, dan memiliki kemampuan analisa data yang baik. | Memiliki kemampuan komunikasi dan koordinasi yang baik. | Pelatihan / Sertifikasi: | Microsoft Office (Excel). | Kewajiban Pelatihan: | Technical Skill: | Data Management & Reporting | Soft Skill: | Basic Administrative Skill | Communication Skill | Tentang Perusahaan: | COAL MINING | Our Company is the sub-holding company established in 2012. The focus of our activities are on coal production and trading activities with main business operations located in East Kalimantan. Our Company is dedicated to provide energy for Indonesia and the world to grow sustainably.","[""Excel""]"
IT Programmer,https://id.jobstreet.com/id/job/91731636?type=standard&ref=search-standalone&origin=cardTitle#sol=28b3f6d31160bea8ebd178144d9ab9782bdf955f,PT Asco Prima Mobilindo,Jakarta Raya,"Kualifikasi : | Pendidikan minimal S1 jurusan Teknik Informatika | Memahami bahasa pemograman Magic/PHP | Menguasai framework Codelgniter, Laravel, Vue Js | Menguasai sistem database Btrieve, SQL, Postgresqi, Cloud database","[""SQL"", ""PHP"", ""Vue"", ""Laravel""]"
IT STAFF,https://id.jobstreet.com/id/job/91450924?type=standard&ref=search-standalone&origin=cardTitle#sol=1ac325a604e78459664e9a7f00839bb762768310,PT. PRASTIWAHYU TUNAS ENGINEERING,Cikarang,"PT. PRASTIWAHYU TUNAS ENGINEERING | sedang mencari kandidat potensial untuk posisi | IT SUPPORT STAFF | . | Sebagai anggota tim IT, Anda akan memiliki fokus utama dalam memastikan kelancaran operasional Yang berkaitan dengan perangkat IT sehari-hari, memberikan solusi teknis kepada | user | , serta membantu dalam implementasi ISO 9001, 140001 dan 45001. | Khusus yang berdomisili di Bekasi Kota, Kab. Bekasi dan Karawang. | Kualifikasi | Pendidikan minimal SMK/D3 jurusan Teknik Komputer Jaringan, Teknik Informatika, Sistem Informasi, atau bidang terkait. | Kuat dan tanggap dalam melakukan | troubleshooting | hardware (PC, Laptop, Printer, dsb) maupun software (Sistem Operasi, Aplikasi Perkantoran, dsb). | Memiliki kemampuan komunikasi dasar yang baik dan ramah untuk berinteraksi serta memberikan panduan teknis kepada | user | dari berbagai departemen. | Pemahaman dasar mengenai pengelolaan Jaringan (Mikrotik) dan Server (Linux/Windows). | Bersedia belajar dan membantu urusan dokumen ISO perusahaan. | Nilai tambah jika memiliki pengetahuan dasar tentang sistem ERP atau | scripting | (Python/JS) untuk efisiensi kerja. | Memiliki rasa ingin tahu tinggi, menyukai teknologi, dan siap belajar hal baru. | Tugas & Tanggung Jawab | Fokus Utama: | Memberikan | support | IT harian secara responsif untuk pengguna internal perusahaan, termasuk penanganan | troubleshooting | hardware dan software. | Melakukan perawatan dan pengecekan rutin untuk perangkat IT, server, serta infrastruktur jaringan. | Membantu Management Representative (MR) | dalam mengurus, menyusun, dan mengelola dokumentasi terkait implementasi | ISO 9001, 14001, dan 45001 | . | Menyusun dokumentasi teknis yang rapi dan laporan aktivitas IT secara berkala. | Merencanakan serta menyusun Program IT tahunan (upgrade sistem, keamanan, dan inovasi layanan). | Turut serta membantu integrasi sistem operasi/ERP sesuai dengan kebutuhan operasional perusahaan. | Kesempatan Karir & Pengembangan | Jenjang karir yang jelas sesuai performa. | Training eksternal IT untuk peningkatan | skill | (networking, security, cloud, AI, dll). | Lingkungan kerja yang mendukung inovasi dan eksplorasi teknologi terbaru. | Mengapa Bergabung? | Kesempatan untuk berkembang bersama tim profesional. | Dukungan penuh untuk pengembangan | skill | dan sertifikasi IT. | Budaya kerja yang kolaboratif dan terbuka terhadap ide-ide baru.","[""Python"", ""Linux"", ""Networking"", ""Troubleshooting""]"
