Job Title,Job URL,Company,Location,Job Description,required_skills
Teknisi Jaringan Internet Wireless,https://id.jobstreet.com/id/job/91420839?type=standard&ref=search-standalone&origin=cardTitle#sol=1a58b89f52241e27d1c37143f50e3ae7e05bb6b8,PT Asia Teknologi Solusi,Jakarta Raya,"Teknisi Jaringan Internet Wireless | Kami membutuhkan tenaga ahli teknisi komputer jaringan wireless (Computer Wireless Network Technician) indoor & outdoor. Kemampuan dasar teknisi jaringan dan komputer dibutuhkan dalam pekerjaan ini. | Rentang gaji | yang kami tawarkan: | Belum ada pengalaman: minimal Rp. 4.500.000 /bulan. | Pengalaman 1-2 tahun dibidang yang sama: minimal Rp. 5.500.000 /bulan. | Pengalaman 3-5 tahun dibidang yang sama: minimal Rp. 6.500.000 /bulan. | Pengalaman 6 tahun lebih dibidang yang sama: minimal Rp. 7.500.000 /bulan. | Rentang gaji juga tergantung hasil Online Test di bawah ini & Direct Test saat interview. | Silakan lakukan | Online Test | di: https://ats-com.net/wne/ | Pemanggilan interview akan dilakukan setelah kami melakukan penilaian dari Online Test tersebut. | Deskripsi pekerjaan | : | 1. Siap berkunjung ke pelanggan jika dibutuhkan sesuai eskalasi RFBO (Remote First Before Onsite). | 2. Melakukan instalasi Outdoor & Indoor Wireless secara benar, rapih dan profesional. | 3. Melakukan survei Line of Sight (LOS) ke lapangan. | 4. Membuat panduan (user guide) untuk para pelanggan yang membutuhkan. | 5. Membuat laporan pekerjaan secara detail ke atasan. | 6. Patuh sepenuhnya kepada prosedur kerja yang telah ditentukan perusahaan. | Persyaratan | : | 1. Paham konfigurasi wireless Mikrotik, Ubiquiti, Cambium, Ceragon, Huawei. | 2. Bersedia dan berani naik tower BTS (Base Transceiver Station) sekitar 30 meter untuk melakukan pekerjaannya. | 3. Paham konsep jaringan komputer wireless indoor dan wireless outdoor secara mendalam. | 4. Memiliki kendaraan pribadi dan SIM. | 5. Maximal absen (tanpa surat keterangan yang valid) 2 hari dalam 1 bulan. | 6. Kepribadian rapih, sopan & sabar dalam menangani keluhan pelanggan. | 7. Mampu bekerja dengan hasil yang rapih, cepat & akurat. | 8. Siap bekerja lembur untuk menyelesaikan tugas & tanggung jawab. | 9. Patuh terhadap Kode Etik dan Peraturan Perusahaan. | Terima kasih, | PT Asia Teknologi Solusi (ATS INTERNET) | www.ats-com.net.id | Head Office: | Jl. Green Lake City Boulevard | Sentra Niaga Blok N-17 | Duri Kosambi | Jakarta Barat 11750 | ATS Training Center: | MikroTik Certified Indonesia | Jl. Meruya Ilir Raya | Rukan Intercon Kebon Jeruk Blok AA1 No: 27","["".NET""]"
Software Engineer,https://id.jobstreet.com/id/job/91555010?type=standard&ref=search-standalone&origin=cardTitle#sol=2eacccbc9bdc6920d3ced010f081945a91507480,PT Sepulsa Teknologi Indonesia (Jakarta),Jakarta Selatan,"Position Summary : | Software Engineer is responsible for developing and maintaining enterprise software and systems (e.g. database system, machine learning & AI systems, etc.) to ensure optimal performance and uptime. This role will design, code, test, debug software systems using programming languages and technologies and continuously monitor the company's systems to improve performance, functionality and user experience. | Core Responsibility: | Software Development: | Gather and draft technical requirements, identify technical user stories and software requirements | specifications that serve as the build-to specification for development | Design, code, test, and maintain software, systems, and components using appropriate | programming languages and technologies. | Conduct software integration with external interface development (e.g., API, Webhooks, or | communication paths from different platforms, applications, and databases). | Implement clean, efficient, and well-documented code following software development best practices and coding standards. | Develop and execute unit tests, perform code reviews, and participate in quality assurance activities | to ensure software reliability, performance, and scalability. | Assisting software design activities, including creating technical specifications, system architecture, | and database design to meet project requirements. | Create and maintain technical documentation, including system specifications, user manuals, and | operational guides. | Software Maintenance: | Identify and resolve technical issues and bugs in software through debugging, troubleshooting, and root cause analysis. | Investigate and resolve software defects and issues, providing timely support to minimize system downtime. | Continuously monitor and enhance existing applications to improve performance, functionality, and user experience. | Identify and address performance bottlenecks, optimizing code and infrastructure to maximize application speed and efficiency. | Position Requirements: | Bachelor’s Degree (S1) in Information Technology, Computer Science, or Engineering | Minimum Experience: 2-3 years of software development roles | Have database knowledge (MySQL, PostgreSQL, MongoDB, etc) and caching (Redis) | Have a good versioning knowledge (Github, Gitlab, etc.) | Have a good API knowledge | Strong written and verbal communication and interpersonal skills | Have knowledge CI/CD using GitHub Actions | Familiar with containers or Kubernetes","[""Kubernetes"", ""GitHub"", ""GitLab"", ""CI/CD"", ""MySQL"", ""PostgreSQL"", ""MongoDB"", ""Redis"", ""API"", ""Machine Learning"", ""Troubleshooting""]"
CTO - ASEAN Industry,https://id.jobstreet.com/id/job/91414252?type=standard&ref=search-standalone&origin=cardTitle#sol=9a77914838d5042f5cfffbe46a49176f6906f522,Microsoft,Jakarta Raya,"Overview | This role is a member of the ASEAN One Enterprise Leadership Team, reporting to ASEAN GM, Enterprise. | As CTO for Indonesia and Philippines, you will have the opportunity to design and drive digital technology initiatives in partnership with your customers, both supporting your customers’ desired business outcomes and achieving Microsoft’s business objectives. | You will leverage large, multi-functional v-team across the breadth of the Microsoft product portfolio and the vast catalog of Microsoft Partner offerings, you will build and grow your network of technology executives within your customers and bring industry-relevant solutions to help the customers adopt and embrace digital technologies. | With a proven history of innovating technical solutions to achieve customers’ business objectives and achieving account growth targets, this role will give you the opportunity to combine your technology and industry knowledge to deliver on digital solutions to accelerate your customers’ digital vision and to ultimately become their technology mentor. | Responsibilities | Responsibility: | Technology Strategy Leadership – Understand the customers’ business objectives, technology landscape and digital strategy to build, document and maintain the customers’ technology architecture and roadmap and use it in communication with the extended account team; grow and manage the technology relationship and orchestrate technology roles in your extended account team and relevant Partners to deliver customer outcomes across the customer lifecycle. | Technology Relevant Trusted Seller – Drive Microsoft Business growth and customer Technology Transformation including partner co-sell motions, building new solution pipeline based on the customer-aligned technology strategy; be accountable for the development and governance of the customers’ consumption pipeline. | Technology Leadership – Create thought leadership with the customers’ executives (Technology and Business) in new and emerging technology trends like AI or Industrial Metaverse and establishing a meaningful and mutually agreed path forward for the customers to adopt those technologies; orchestrate the resulting opportunities across Microsoft and Partner teams and create referenceable customer win stories. | Industry Knowledge – Apply expertise in customer businesses, technology platforms and industry to build digital technology strategy with the customer that is aligned to business outcomes. Challenge customers’ assumptions with constructive dialogue about their business and technology. | Qualifications | Required/Minimum Qualifications | Bachelor's Degree in Computer Science, Information Technology, Engineering, Business or related field AND 8+ years technical consulting, technical consultative selling, business consulting, practice building, or related technical/sales experience | OR equivalent experience. | Ability to communicate effectively (written and verbal) in Indonesian or Philippine local language for specific work‑related interactions or documentation, where required. | Additional Or Preferred Qualifications | Bachelor's Degree in Computer Science, Information Technology, Engineering, or related field AND 15+ years technical consulting, technical consultative selling, business consulting, practice building, or related technical/sales experience | OR equivalent experience. | 8+ years experience in relevant customer industry. | 8+ years experience in digital transformation, or using technology to drive customer business outcomes | This position will be open for a minimum of 5 days, with applications accepted on an ongoing basis until the position is filled. | Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance with religious accommodations and/or a reasonable accommodation due to a disability during the application process, read more about | requesting accommodations.",[]
IT Staff,https://id.jobstreet.com/id/job/91760720?type=standard&ref=search-standalone&origin=cardTitle#sol=c12450e0eadda8230cb3c874fa437b8582e489f9,PT Karya Tulus Bakti,Surabaya,"Gambaran Umum Pekerjaan | PT Karya Tulus Bakti' sedang mencari IT Staff berpengalaman untuk bergabung dengan tim kami di Surabaya, Jawa Timur. Sebagai IT Staff, Anda akan memainkan peran penting dalam memastikan kelancaraan operasional teknologi informasi di perusahaan kami. Posisi ini menawarkan peluang untuk bekerja dalam lingkungan pengembangan teknologi yang dinamis dan memberikan kontribusi langsung terhadap keberhasilan bisnis. | Tanggung Jawab Utama | Melakukan pemasangan, konfigurasi, dan pemeliharaan sistem ERPNext di seluruh organisasi | . | Memberikan dukungan teknis dan pemecahan masalah untuk masalah TI yang dihadapi karyawan. | Memantau dan memastikan ketersediaan dan kinerja sistem TI yang andal. | Mengidentifikasi dan menerapkan solusi teknologi untuk meningkatkan efisiensi dan produktivitas melalui sistem ERPNext. | Mendokumentasikan proses, prosedur, dan konfigurasi sistem TI. | Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan | Setidaknya 3 tahun pengalaman dalam peran dukungan TI atau serupa di industri Teknologi Informasi & Komunikasi. | Familiar dengan alat dan teknologi TI yang umum digunakan, seperti Microsoft Office, firewall, dan perangkat lunak manajemen aset. | Kemampuan berkomunikasi yang baik dan kemampuan bekerja dalam tim maupun mandiri. | Bersemangat untuk belajar dan mengembangkan keterampilan teknis secara berkelanjutan. | Manfaat Utama Bekerja di PT Karya Tulus Bakti | Lingkungan kerja yang kolaboratif, inovatif, dan mendukung keseimbangan kehidupan kerja. | Fasilitas kantor yang nyaman dan dilengkapi dengan berbagai sarana penunjang produktivitas. | Tentang PT Karya Tulus Bakti | PT Karya Tulus Bakti' adalah perusahaan yang bergerak di bidang pertambangan. Kami berkomitmen untuk menyediakan produk dan layanan berkualitas tinggi yang membantu klien kami mencapai keunggulan kompetitif. Dengan tim yang berdedikasi dan lingkungan kerja yang dinamis, kami terus berinovasi untuk memenuhi kebutuhan pelanggan yang selalu berubah. | Jika Anda tertarik dan memenuhi persyaratan, jangan ragu untuk melamar posisi ini sekarang.",[]
Database & Support System Officer,https://id.jobstreet.com/id/job/91681772?type=standard&ref=search-standalone&origin=cardTitle#sol=c4732cc6e01118cef6bdaa777fb39128656e633d,"PT SMART,Tbk",Jakarta Pusat,"Job Description Summary : | Design spatial, non spatial database and centralize databases, maintenance of servers (GeoSMART and DAR), Maintenance of storage devices (NAS), co-ordinate with IT to provide support and upkeep hardware, software and network in the PMNP division. | Job Description : | Responsible for managing servers and NAS, and maintaining data security by managing data access authorization on both servers and NAS. | Implementing the creation and development of GDSS systems and spatial and non-spatial applications in accordance with the work processes implemented in the PMNP division to ensure effectiveness and efficiency. | Responsible for designing database formats, establishing data structures, and defining database storage structures. | Building a centralized database using predetermined data structures and managing data access for users. | Job Requirement : | Min Bachelor Degree in System Information or Information Technology or equivalent | Having min 3 years of working experience in Database & Support System | Having Experience in Web & Mobile Apps Development with Tech Stack PHP – CodeIgniter  3 & 4, Node.js,  Android Java dan Flutter. | Good in Analytical Thinking | Fluent in English | Willing to be located in Head Office Jakarta | ""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person","[""Java"", ""PHP"", ""Flutter"", ""Node.js""]"
Advance Software Engineer,https://id.jobstreet.com/id/job/91440972?type=standard&ref=search-standalone&origin=cardTitle#sol=3a07d87fcdc7827c3f5acd1fcc322d8a833c32c0,PT Haleyora Powerindo,Jakarta Raya,"Kualifikasi : | Pendidikan minimal S1 Teknik Informatika, Sistem Informasi, Ilmu Komputer | Memiliki pola pikir analitis dan kemampuan problem solving yang baik | Menguasai minimal salah satu teknologi berikut: | a. Java, Go, Node, Python | b. HTML, CSS, dan Javascript; | c. AngularJS atau VueJS | d. Database: MariaDB, PostgreSQL, MongoDB, Redis, Elastic Search | Mampu menggunakan tools pengembangan seperti Git, Jira, Confluence | Memiliki kemampuan adaptif terhadap tools dan teknologi baru | Memiliki pemahaman terkait Business Intelligence (BI) dan data visualization, contoh tools nya tableau | Minimal 4 tahun pengalaman sebagai Advance Software Engineer","[""Python"", ""Java"", ""JavaScript"", ""HTML"", ""CSS"", ""Go"", ""Git"", ""PostgreSQL"", ""MongoDB"", ""Redis"", ""Tableau""]"
IT Quality Engineer (QE),https://id.jobstreet.com/id/job/91510185?type=standard&ref=search-standalone&origin=cardTitle#sol=4e9e5e93a89ecc08bfb16a697e7d493e82cb5866,PT. Wide Technologies Indonesia,Jakarta Selatan,"Millions of API request, millions of customers, these are the kind of the product scale that you will be building at Wide Technologies Indonesia. You will be building upon an enterprise banking application system that serves the Indonesian and South-East Asia market, and collaborate together with our growing product & engineering teams to build the ultimate enterprise banking experience for millions of Indonesian and South-East retailers and corporates. | What you will really be doing | Creation and maintenance of automated tests | Execution of automated tests | Reporting of issues, coordination with the development team | What should you have for Quality Engineer | Understanding of basic automation testing concept | Understanding of automation testing tools such as Selenium, Cypress, Cucumber, and Katalon Studio (bootcamp / min 1 year working experience) | Good analytical thinking, the ability to think outside of the box and identify weak points | Ability to analyze business requirements | Ability to clearly communicate in English | Understanding of modern Web and / or Mobile technologies, understanding of client - server architecture | Experience with object-oriented programming | Creating test data when required | Understanding of REST | If you join with us, you will have | Experience with Selenium tool | Experience with Java or Kotlin programming | Experience with relational databases | Experience with Agile methodologies","[""Java"", ""Kotlin"", ""API"", ""Agile""]"
Data Engineer,https://id.jobstreet.com/id/job/91486751?type=standard&ref=search-standalone&origin=cardTitle#sol=59b49e5f1dbdf565f7723abf84cb4f20bb3ae921,PT Sharing Vision Indonesia,Jakarta Raya,"PT Sharing Vision Indonesia | masih membutuhkan | beberapa orang minimal S1/D4/S2 dari Teknik Informatika/Sistem Teknologi Informasi/Teknik Elektro/Teknik Telekomunikasi/Sistem Informasi/Fisika/ Matematika/Statistika/Ilmu Komputer/Engineer lainnya, untuk posisi sebagai: | Data Engineer Penempatan WFO di Jakarta | Persyaratan: | Berpengalaman minimal 1-2 tahun dalam pekerjaan terkait Data Engineer | Minimal lulusan S1 | Berpengalaman dalam ETL, data quality, data management | Advance dalam bahasa pemrosesan SQL, Python, Java | Advance dalam database management system, Oracle, postgree SQL, MySQL, Microsoft SQL, dan lain lain | Advance dalam crawling data dari medsos | Diutamakan pengalaman dengan big data tools untuk data ingestion seperti Sqoop, Kafka, dan lain lain | Pengalaman dalam menggunakan Tableau/Google Analytics/tools dashboard lainnya diutamakan | Pengalaman dalam teknologi big data (Spark, Hive, Impala) lebih diutamakan","[""Python"", ""SQL"", ""Java"", ""MySQL"", ""Oracle"", ""Tableau"", ""Spark""]"
ERP Consultant (Fresh Graduate),https://id.jobstreet.com/id/job/91565734?type=standard&ref=search-standalone&origin=cardTitle#sol=6fdf06f0fb4029a9327c43df1d3e888032b7bba1,PT Hashmicro Solusi Indonesia,Jakarta Pusat,"Responsibilities: | Manage and ensure ERP projects are done on time, on budget and on scope with high customer satisfaction | Gather requirements, manage development with developers, perform UAT, training and Go Live with customer | Create, update and maintain a variety of project controls that track the status of: individual projects or task orders, changes to projects or task orders, matters involving quality controls, and other aspects of the project(s) or task order(s). | Analyze reports and use personal influence to create priorities that prevent delays to critical activities within the project; | Establish, monitor, communicate and maintain project schedules; | Write software/technical documentation for assigned ERP projects; | Proactively identify issues that could lead to problems and facilitate solutions; | Assist in ensuring that all aspects of the project are compliant with all contract terms and legal requirements that govern the project and the community in which the project(s) takes place; | Participate in manage activities that are related to ensuring timely completion; | Participate in life-long learning opportunities and professional development. | Participate in weekly staff meetings and industry networking functions. | Any other duties assigned. | Qualifications: | Proficient in at least one programming language and database management to be able to understand and communicate effectively with developer team | Candidates must possess at least a Bachelor's Degree in Computer Science/Information Technology or equivalent. | Able to communicate in English with overseas team | Preferably Staff (non-management & non-supervisor) specialized in IT/Computer - Software or equivalent. | Good knowledge in the fields of computer science | Passionate to work in the information technology sector | Willing to work overtime when required to meet important deadlines | Excellent written and verbal communication skills | The ability to work well with others | Good time management ability | Possess analytical skills to be able to solve problems that may come up during a typical work day | Excellent client-facing and internal communication skills | Solid organizational skills including attention to detail and multi-tasking skills | ERP Knowledge and Accounting Knowledge is a plus | Must be willing to relocate to Jakarta | Fresh Graduates welcome to apply | Benefits: | Competitive salary, based on result-oriented personal performance review | Significant career growth opportunities, based on personal performance review every 9 months | Project completion rewards, given for every project completed","[""Go"", ""Networking""]"
Network Monitoring Center,https://id.jobstreet.com/id/job/91691090?type=standard&ref=search-standalone&origin=cardTitle#sol=8f5e43193235d72bd42f7240766e113180819d91,PT Pasifik Satelit Nusantara,Cikarang Selatan,"Job Description: | First Layer on Escalation / Troubleshoot | Monitoring service dan Perangkat RF ditiap gateway Active, Responsif terhadap layanan yang di handling | Membuat Reporting setiap gangguan yang terjadi | Support teknisi dilapangan | Melakukan verifikasi data terhadap report pekerjaan Teknisi (TMO) | Handling Crosspole | Berkoordinasi dengan ektsternal maupun lintas Div / Dept internal | Bersedia dalam ketentuan sebagai NMC (SPJ, backup field operasional dll | Monitoring 24/7 (Shifting) | Requirements: | Min. D3 dari jurusan Teknik Elektro/Telekomunikasi/Teknik Informatika | Memiliki pengalaman sebagai NOC min. 1 tahun (Fresh Graduate dipersilahkan) | Memiliki pengetahuan tentang VSAT IP dan Jaringan IP | Memahami basic TCP/IP, Switching, dan Routing | Memahami Sistem Operasi Windows dan Linux | Memiliki pengetahuan tentang aplikasi monitoring Grafana, PRTG, Zabbix, MRTG | Bersedia shifting | Notes: | Kami ingin menegaskan bahwa perusahaan kami tidak akan meminta biaya atau pembayaran dalam bentuk apapun kepada pelamar selama proses rekrutmen. Semua tahapan seleksi dilakukan secara gratis tanpa biaya administrasi atau lainnya. Apabila anda diminta untuk membayar biaya dalam bentuk apapun, harap berhati-hati dan segera laporkan kepada pihak berwenang.","[""Linux"", ""Routing"", ""Switching""]"
