Job Title,Job URL,Company,Location,Job Description,required_skills
IT Support (CCTV & GPS) Staff,https://id.jobstreet.com/id/job/91361613?type=standard&ref=search-standalone&origin=cardTitle#sol=d1e070b8e180981222edccea44d562e318e10556,PT.  Universal Eco Pasific,Jakarta Pusat,"Deskripsi pekerjaan | Tanggung Jawab Utama | Melakukan instalasi, konfigurasi, dan maintenance hardware, software, dan perangkat jaringan. | Melakukan troubleshooting hardware, software, server system, LAN & WAN. | Mengelola dan monitoring server, sistem backup (Veeam), dan virtualisasi (VMware). | Melakukan konfigurasi dan maintenance Mikrotik (VPN), Cisco, CCTV, dan PABX. | Monitoring CCTV (iVMS, EZ Cloud, dll), GPS, dan dashcam perusahaan. | Melakukan pemantauan aktivitas produksi, K3, dan operasional armada melalui CCTV & GPS. | Melakukan penarikan data GPS dan membuat daily & weekly report. | Memastikan keamanan dan kestabilan sistem IT perusahaan. | Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan | Pendidikan minimal D3/S1 Teknik Informatika, Sistem Informasi, Ilmu Komputer, atau bidang terkait. | Pengalaman minimal 2 tahun di bidang pekerjaan yang sama. | Menguasai instalasi & troubleshooting hardware, software, server, serta jaringan LAN/WAN. | Menguasai konfigurasi Mikrotik (VPN), Cisco, CCTV, dan PABX. | Memahami Windows OS, VMware, dan Veeam. | Berpengalaman monitoring CCTV (iVMS, EZ Cloud), GPS, dan dashcam. | Analitis, komunikatif, dan mampu bekerja mandiri maupun dalam tim.","[""Cisco"", ""Troubleshooting""]"
IT Support,https://id.jobstreet.com/id/job/91746082?type=standard&ref=search-standalone&origin=cardTitle#sol=6b7550e04375d90218378b40b99245a67e242b79,PT. Berca Hardayaperkasa,Jakarta Raya,Oops! That page can’t be found. | It looks like nothing was found at this location. Maybe try a search? | Search,[]
IT Network and Server Staff,https://id.jobstreet.com/id/job/91833297?type=standard&ref=search-standalone&origin=cardTitle#sol=7d8902a6674ce49e6be0e31735bd61a58a8ce0fd,PT Global Indonesia Asia Sejahtera,Pademangan,"Job Description: | Perform maintenance, updates, and backups for email, network, server, RDP, and PABX systems while ensuring smooth operations and managing network firewalls. | Troubleshoot and resolve issues related to email, network, and server infrastructure, recording all resolutions in a logbook. | Plan and execute infrastructure requirements, including network maintenance, internal/external switch troubleshooting, and virtualization segmentation. | Set up and manage server environments, with a focus on Proxmox virtualization and on-premise servers. | Ensure the reliability and performance of the organization's IT infrastructure through proactive monitoring and maintenance. | Qualification: | Minimum education: Bachelor's degree in Computer Science or related fields. | At least 1 year of experience in a similar role. | Holds MTCNA and Advanced Mikrotik Training - Routing (MTCRE) certifications. | Skilled in system installation and configuration (Linux/Unix systems). | Experienced in system and security monitoring, as well as network analysis, design, and implementation (Mikrotik, Routing, Firewall, NAT, LAN, WAN, etc.). | Proficient in designing and implementing application servers on Windows and Linux platforms (e.g., Zimbra mail server, DNS, Web server, Cpanel, Virtualization). | Experienced in managing on-premise servers.","[""Linux"", ""Routing"", ""Troubleshooting""]"
IT Infrastructure,https://id.jobstreet.com/id/job/91666200?type=standard&ref=search-standalone&origin=cardTitle#sol=75d72bfe1cc59a8e3e74aac41a5e82c7c381f050,PT Adibayu Gajah Semakmur,Yogyakarta,"Tugas & Tanggung Jawab : | Menginstal, mengkonfigurasi, dan memelihara perangkat keras (server, komputer, printer, CCTV) serta perangkat lunak di lingkungan pabrik & kantor. | Mengelola jaringan lokal (LAN/WLAN), termasuk router, switch, firewall, dan akses internet | Memberikan dukungan teknis (helpdesk) untuk masalah komputer, jaringan, printer, dan aplikasi internal. | Melakukan backup data rutin (server, database produksi) dan menguji pemulihan data (disaster recovery). | Menerapkan dan memantau kebijakan keamanan siber, termasuk antivirus, firewall, manajemen patch, dan kontrol akses. | Memantau log dan aktivitas mencurigakan (malware, phishing, akses tidak sah) serta menanggapi insiden keamanan. | Menyusun dokumentasi konfigurasi jaringan, inventaris perangkat, kebijakan keamanan, serta laporan bulanan ke manajemen. | Kualifikasi yang dibutuhkan : | Minimal D3/S1 Teknik Informatika, Sistem Informasi, Teknik Jaringan, Cyber Security, atau bidang terkait. | Pengalaman minimal 3–5 tahun di bidang IT Infrastructure/Support di lingkungan manufaktur (pabrik) dan dengan pengalaman nyata di cyber security menjadi nilai tambah | Menguasai jaringan (TCP/IP, routing, switching, VLAN, MikroTik/Cisco) serta server (Windows Server/Linux). | Memahami keamanan siber (firewall, IDS/IPS, VPN, manajemen patch, tools seperti Wireshark/Nmap) serta memahami serangan umum (malware, phishing, ransomware). | Sertifikasi seperti CompTIA Security+, CCNA, MikroTik, atau CEH menjadi nilai tambah yang diutamakan. | Teliti, proaktif, memiliki integritas tinggi, serta mampu bekerja mandiri dan berkomunikasi dengan baik. | Bersedia ditempatkan di Bantul, Yogyakarta dan dapat bekerja di luar jam kerja jika diperlukan (pemeliharaan/insiden).","[""Linux"", ""Cisco"", ""Routing"", ""Switching"", ""CCNA"", ""Cyber Security""]"
STAFF IT,https://id.jobstreet.com/id/job/91344824?type=standard&ref=search-standalone&origin=cardTitle#sol=a49343ee03b476a72ce656274dc0a59765cbba21,PT.Diamond International Indonesia,Majalengka,"💻 | Job Description | Melakukan maintenance dasar pada sistem back-end, termasuk pengelolaan database | Berkoordinasi dengan tim IT pusat dalam proses maintenance dan pengembangan sistem | Membantu memastikan sistem berjalan dengan stabil dan optimal | 🎯 | Kualifikasi | Pendidikan minimal D3/S1 IT atau jurusan terkait | Memahami .NET dan database (MySQL) | Memiliki kemampuan komunikasi bahasa Inggris tingkat menengah | Teliti, bertanggung jawab, dan mampu bekerja sama dalam tim | 📍 | Lokasi Kerja | Majalengka, Jawa Barat","[""MySQL""]"
IT Support Specialist,https://id.jobstreet.com/id/job/91580790?type=standard&ref=search-standalone&origin=cardTitle#sol=46226c6ddf2fe357a4c60f8a71769c1fd84d1c48,ATech Solution,Yogyakarta,"Responsibilities | Deliver remote technical assistance to employees across diverse platforms | Proficient in Windows, Android, macOS, and iOS operating systems | Analyze, identify, and resolve IT-related problems | Manage and maintain ESXi and Proxmox VE virtualization environments | Support onboarding by creating and administering new user accounts | Conduct routine IT tasks including system monitoring, administration, log analysis, and backup operations | Provide prompt solutions to technical issues and escalate when required | Document IT procedures and support activities for reference and continuity | Exhibit accountability, initiative, and the ability to work independently | Requirements | Bachelor’s degree in Information Technology, Computer Science, or a related field | At least 5 years of professional experience in IT support | Solid expertise in system administration and virtualization technologies (ESXi, Proxmox VE) | Strong command of English with excellent communication abilities | Highly dependable, detail-focused, and capable of working autonomously",[]
IT Assistant Manager,https://id.jobstreet.com/id/job/91436404?type=standard&ref=search-standalone&origin=cardTitle#sol=f10a794913f167679526d706d18027fc45e40481,PT Orson Indonesia,Cilincing,"Job Vacancy: IT Assistant Manager | We are seeking an experienced | IT Assistant Manager | to support the management of IT operations, ensure smooth infrastructure performance, oversee budgeting, and lead continuous improvement initiatives. The ideal candidate must possess strong technical competencies as well as excellent soft skills to coordinate with internal teams and external vendors. | Key Responsibilities | Assist the IT Manager in supervising daily IT operations and team activities. | Develop and manage the IT budget, including forecasting costs and monitoring expenses. | Maintain and support IT infrastructure, hardware, software, and network facilities. | Oversee vendor management, procurement, and maintenance schedules. | Prepare regular IT performance reports, asset tracking, and documentation. | Troubleshoot issues and ensure minimal downtime for all IT systems. | Support IT projects, upgrades, and system improvements. | Ensure compliance with security protocols, policies, and best practices. | Required Hard Skills | Strong knowledge of network systems, servers, cloud services, and IT security. | Experience in IT budgeting and cost management. | Proficient in troubleshooting hardware, software, and network issues. | Familiar with IT asset management and documentation tools. | Understanding of system administration (Windows/Linux) is a plus. | Requirements | Bachelor’s degree in Information Technology, Computer Science, or related field. | Minimum 3–5 years of experience in IT operations; leadership experience preferred. | Experience in budgeting, reporting, and IT facility management. | Strong organizational skills and attention to detail.","[""Linux"", ""Troubleshooting""]"
IT,https://id.jobstreet.com/id/job/91425746?type=standard&ref=search-standalone&origin=cardTitle#sol=faf1ae3ef8ff374c0f24757eb7b44794d03f38b7,PT Otewe Maju Bersama,Jakarta Raya,"Kesempatan | Kami mencari profesional IT yang inovatif, kreatif, dan berorientasi pada tim untuk bergabung dengan PT Otewe Maju Bersama' di Jakarta Raya. Sebagai bagian dari tim teknologi kami, Anda akan memainkan peran strategis dalam mengelola dan mengembangkan sistem IT perusahaan agar dapat mendukung operasi bisnis yang efektif dan efisien. Anda akan bekerja dalam lingkungan kerja yang kolaboratif dan mendukung, dengan kesempatan untuk terus mengembangkan keterampilan profesional Anda. | Tanggung Jawab | Mengawasi dan memelihara infrastruktur IT, termasuk server, jaringan, dan perangkat lunak, untuk memastikan ketersediaan dan kinerja yang optimal. | Menganalisis, mengidentifikasi, dan memecahkan masalah IT yang muncul, serta menerapkan solusi yang efektif dan tepat waktu. | Merancang, mengimplementasikan, dan memelihara sistem dan prosedur keamanan IT yang kuat untuk melindungi informasi dan aset perusahaan. | Memberikan dukungan teknis dan pelatihan kepada pengguna IT di seluruh organisasi serta memastikan efektivitas penggunaan teknologi. | Berkolaborasi dengan pemangku kepentingan lain untuk memahami kebutuhan bisnis dan menerjemahkannya menjadi solusi IT yang inovatif. | Mengembangkan dan menerapkan rencana pemulihan bencana dan strategi kelangsungan bisnis untuk menjaga keberlangsungan operasi IT. | Persyaratan | Gelar Sarjana dalam bidang Teknologi Informasi, Sistem Informasi, atau disiplin ilmu terkait. | Minimal 3 tahun pengalaman dalam peran serupa, dengan pemahaman yang mendalam tentang infrastruktur IT, manajemen jaringan, dan keamanan sistem. | Pengetahuan yang mahir dalam administrasi server, manajemen database, dan layanan awan (cloud). | Kemampuan pemecahan masalah yang kuat | Kemampuan bekerja secara independen maupun dalam tim serta berkomunikasi secara efektif dengan pemangku kepentingan di semua tingkatan. | Bersemangat untuk terus belajar dan mengadaptasi solusi IT yang inovatif. | Tertarik untuk bergabung dengan tim kami? Lamar sekarang!",[]
IT Support (Internship),https://id.jobstreet.com/id/job/91835020?type=standard&ref=search-standalone&origin=cardTitle#sol=87681895a6390fd768bebf788a20832fdf152720,PT Kelola Jasa Artha (Kejar),Jakarta Pusat,"DESKRIPSI PEKERJAAN : | Intern IT mendukung instalasi, pemeliharaan, dan troubleshooting dasar sistem serta jaringan, sekaligus membantu tugas teknis dan administratif agar operasional TI berjalan lancar. | KUALIFIKASI : | Mahasiswa aktif atau lulusan D3/S1 Teknik Informatika atau bidang terkait | Memahami dasar sistem, jaringan, dan keamanan informasi | Mengikuti perkembangan teknologi digital | Disiplin, adaptif, dan mau belajar | Mampu bekerja sama dalam tim","[""Troubleshooting""]"
IT Support (NOC) DWDM,https://id.jobstreet.com/id/job/91612828?type=standard&ref=search-standalone&origin=cardTitle#sol=984e0f197d6c393f79de36f64de11fe589c95dad,PT Binajasa Sumber Sarana (BSS Recruitment),Jakarta Raya,"Job Deskripsi: | Melakukan monitoring alarm system dan perangkat jaringan | DWDM | , backbone, dan akses melalui NMS. | Mengidentifikasi alarm pada jaringan | DWDM | serta melakukan eskalasi ke tim terkait. | Menangani dan melakukan pengecekan awal terhadap gangguan jaringan atau keluhan pelanggan. | Melakukan monitoring aktivitas maintenance pada jaringan | DWDM | dan backbone. | Membuat laporan harian terkait alarm, gangguan, dan event pada jaringan | DWDM | . | Kualifikasi: | Pendidikan minimal D3. | Memiliki pengalaman minimal 1 tahun sebagai NOC (monitoring jaringan di ruang NOC). | Bersedia bekerja dengan sistem shift (pagi/siang/malam), termasuk hari libur nasional (5 hari kerja/minggu).",[]
