Job Title,Job URL,Company,Location,Job Description,required_skills
Sales Engineer B2B,https://id.jobstreet.com/id/job/91483810?type=standard&ref=search-standalone&origin=cardTitle#sol=061f22154887d2410fc41d3611ac8ff5a45b1622,PT Nabel Sakha Gemilang,Bekasi,"Didirikan pada tahun 2006, Nabel Sakha kini terbagi menjadi tiga perusahaan dengan fokus yang berbeda : | PT Nabel Sakha Gemilang | yang berfokus pada distribusi pelumas industri, | PT Rafitama Millenial Wahyudi | yang berfokus pada distribusi komponen hidrolik dan pneumatik, dan | PT Dimensi Quantum Wahyudi | yang berfokus pada distribusi komponen vakum dan sistem penanganan ( | handling systems | ). | Nabel Sakha Group berkomitmen untuk hanya mendistribusikan produk-produk berkualitas dengan solusi praktis guna memberikan produk dan layanan terbaik yang tersedia bagi para pelanggan setianya, dengan komitmen penuh terhadap kepuasan pelanggan | Job Desription : | Mencari dan mengidentifikasi peluang bisnis baru (leads) di segmen manufaktur/B2B. | Melakukan presentasi produk/layanan yang persuasif dan melakukan demo produk kepada calon klien. | Menyusun proposal bisnis, melakukan negosiasi kontrak, dan memastikan penutupan penjualan ( | closing | ) sesuai target | Mengelola data prospek di sistem CRM dan memberikan laporan aktivitas penjualan secara berkala. | Memantau tren pasar dan aktivitas kompetitor untuk memberikan masukan strategis kepada perusahaan. | Menjaga hubungan baik dengan klien lama ( | existing accounts | ) untuk memastikan adanya pembelian berulang ( | repeat order | ) | Requirements : | Pendidikan minimal | S1 | (Semua jurusan, namun untuk jurusan lebih diutamakan) | Pengalaman minimal | 1-3 tahun | di bidang Sales B2B atau | Corporate Sales | . | Memiliki kemampuan komunikasi, presentasi, dan negosiasi yang sangat baik. | Berorientasi pada target ( | target-driven | ) dan memiliki motivasi kerja yang tinggi. | Mampu bekerja secara mandiri maupun dalam tim. | Memiliki jaringan ( | networking | ) yang luas di industri lubricant dan pneumatic hidrolik adalah nilai tambah. | Fasih berbahasa Inggris (lisan & tulisan) akan menjadi poin plus. | Memiliki kendaraan pribadi dan SIM yang aktif. (SIM A) | Siap ditempatkan di area | Bekasi.","[""Networking""]"
IT Asset Management,https://id.jobstreet.com/id/job/91586560?type=standard&ref=search-standalone&origin=cardTitle#sol=bc4531cacc49270891a92f34ae91aa5c0733a9da,PT. KOBUS SMART SERVICE,Jagakarsa,"Berikut teks dari gambar: | Job description | Monitoring and recording the entry and exit of IT assets (hardware, software, application systems) and documented them in the database/system. | Manage the asset life cycle process, from purchasing, installation, maintenance, and asset disposal/disposal. | Follow up the expiration date and ensure all software/hardware is not expired. | Perform memo approval processes and monitor the PKS (Work Agreement) for IT assets. | Communicate with internal and vendors regarding IT assets. | Prepare weekly and monthly reports related to the asset life cycle process.",[]
Backend (Golang) Developer,https://id.jobstreet.com/id/job/91724635?type=standard&ref=search-standalone&origin=cardTitle#sol=e42c5db1013458764a6a4d76b0bd467a21552241,Steradian Data Optima,Jakarta Raya,"Requirements | Bachelor’s degree (S1) in Computer Science, Information Technology, or a related field | Minimum | 1 year of experience | in backend development or a related role | Proficient in | Golang (Go) | programming language | Strong understanding of | SQL and NoSQL databases | Experienced in using | Git | for version control (Bitbucket preferred) | Nice to Have | Experience working with | gRPC and Protocol Buffers (Protobuf) | Familiarity with | containerization technologies | , especially | Docker | Experience working in collaborative development environments and agile teams | Responsibilities | Develop, maintain, and optimize backend services using | Golang | Design and implement efficient, scalable, and secure APIs | Manage and integrate databases (SQL & NoSQL) to support application needs | Collaborate with frontend developers, DevOps, and other stakeholders | Maintain clean, well-documented, and testable code using version control best practices","[""SQL"", ""Go"", ""Golang"", ""Docker"", ""Git"", ""Agile""]"
Full Stack Engineer (Golang + React.JS),https://id.jobstreet.com/id/job/91752735?type=standard&ref=search-standalone&origin=cardTitle#sol=35c42866536e2840daf565dd62a82543a3d21186,PT Sharing Vision Indonesia,Jakarta Pusat,"PT Sharing Vision Indonesia | masih membutuhkan | beberapa talent minimal S1/D4/S2 dari Teknik Informatika/Sistem Teknologi Informasi/Teknik Komputer/Teknik Elektro/Engineer lainnya, untuk posisi sebagai: | Full Stack Engineer (Golang + React.JS) | (BERTUGAS UNTUK MELAKUKAN PEMROGRAMAN BACK-END DAN FRONT-END) | Penempatan WFO di Jakarta | Persyaratan: | Mempunyai pengalaman minimal 1-2 tahun sebagai Full Stack Engineer dalam pekerjaan atau proyek. | Fresh graduate yang mempunyai skill sebagai programmer dipersilahkan untuk mendaftar. | Pengalaman dalam teknologi software-backend: Golang, Python | Pengalaman dalam teknologi software-frontend: React.JS, Vue.JS, Next.JS, Node.JS | Pengalaman dalam teknologi database: MySQL, SQL Server, Postgresql. | Mempunyai portfolio pengembangan sistem yang pernah dilakukan dan dapat ditunjukkan.","[""Python"", ""SQL"", ""Golang"", ""React"", ""Vue"", ""Next.js"", ""Node.js"", ""MySQL"", ""PostgreSQL""]"
Senior Engineering Manager,https://id.jobstreet.com/id/job/91450032?type=standard&ref=search-standalone&origin=cardTitle#sol=dd1792d2273e4ea3ae15d5446d35f61b255edc02,PT Trinusa Travelindo,Banten,"About the Team | The Engineering team is the backbone of Traveloka’s innovation, building scalable, high-performance systems that power millions of users worldwide. With relentless focus on reliability and speed, we deliver seamless experiences and shape the future of digital travel. | Job Description | As Senior Engineering Manager, you will be responsible for managing a team of engineers to deliver a high quality product to our customers. You will also be working with a cross-functional team to verify problems, discussing the best and pragmatic solution, and working together to realize it. We work in an open environment where there are no boundaries or power distance. Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves. Collaborating closely with various teams, you will ensure that projects are delivered on schedule and meet the organizational objectives. | Responsibilities: | Working with the product counterparts to translate the organizational objectives into a list of projects/initiatives. | Work with the operational team to understand the operational issues and use them as feedback for the product development. | Managing a team of engineers to deliver a high quality product through the participation in brainstorming, architectural/design review, task breakdown, project management, code review, etc. | Contribute to the recruitment of top talent through active involvement in interviews and the delivery of constructive feedback. | Requirements | Bachelor's degree in Computer Science or equivalent from reputable universities. | Solid experience in Software Engineering with minimum 10+ years including 4+ years experience as engineering manager - preferably with experience in consumer application. | Proven experience in creating a robust and highly scalable system. | Excellent in verbal communication, presentation, mentorship skills, influence skills, and shows personal maturity. | Excellent in problem solving, analytical, and ability to move up and down from solution and implementation. | Comfortable working with a cross-functional team.",[]
IT Business Analyst,https://id.jobstreet.com/id/job/91705489?type=standard&ref=search-standalone&origin=cardTitle#sol=edac3f33eca56008f3e348a9728ec5aa76df492d,PT Indolampung Perkasa,Jakarta Selatan,"Responsibilities may include: | Making analyses and building analytic modelling | Performing due diligence and research | Developing plan and budget | Managing documentation and knowledge management | Monitoring and overseeing ongoing projects | Helping project implementation | Requirements: | Bachelor degree or equivalent with min GPA 3.2 | All majors are welcome: sciences, engineering, business, IT | Demonstrated analytical and problem-solving skills | Strong communications skills with solid command of English | Solid skills in Data Science, MS Office; experience in analytical software is a plus | Able to work independently and as a team | Based in Jakarta, with willingness to travel at notice",[]
Sales IT,https://id.jobstreet.com/id/job/91755954?type=standard&ref=search-standalone&origin=cardTitle#sol=68b578a480ec711531fccb8bc2ca8e4d01d6a3e0,PT Daya Cipta Mandiri Solusi,Jakarta Timur,"- mengerti IT, networking, data center | - domisili Jakarta timur, Bekasi | - memiliki kendaraan motor diutamakan","[""Networking""]"
Storage Engineer,https://id.jobstreet.com/id/job/91508011?type=standard&ref=search-standalone&origin=cardTitle#sol=c054b361b192c5f6c0b2f81411ac91c6c61baeff,Perusahaan Dirahasiakan,Jakarta Pusat,"WE ARE HIRING Storage Engineer – Banking Industry | We are seeking a highly skilled | Storage Engineer | to support and enhance our banking infrastructure. This role is critical in ensuring secure, high-performance, and highly available storage systems that support core banking operations and regulatory requirements. | Job Description: | You will be responsible for designing, implementing, and managing enterprise-grade storage solutions within a banking environment. You will ensure data integrity, security, and availability in line with industry standards and compliance requirements. | Key Responsibilities: | Manage and monitor enterprise storage systems (SAN/NAS) in a banking environment | Perform installation, configuration, and optimization of storage infrastructure | Ensure high availability and reliability for critical banking systems | Implement and manage backup, restore, and disaster recovery processes | Troubleshoot performance, latency, and capacity issues | Ensure compliance with data security and regulatory standards | Collaborate with infrastructure, database, and application teams | Maintain accurate documentation and audit-ready reports | Requirements: | Bachelor’s degree in IT, Computer Science, or related field | Minimum 3 years of experience in Storage Engineer / Infrastructure role (preferably in banking or financial services) | Strong knowledge of SAN, NAS, RAID, and storage virtualization | Hands-on experience with enterprise storage solutions (Dell EMC, NetApp, HPE, etc.) | Familiar with backup solutions (Veeam, Veritas, or similar) | Strong understanding of High Availability (HA) and Disaster Recovery (DR) | Knowledge of data security standards and compliance in banking is a plus | Strong analytical thinking and problem-solving skills",[]
IT-SAP 4HANA Specialist (Functional & Abab Programmer),https://id.jobstreet.com/id/job/91704223?type=standard&ref=search-standalone&origin=cardTitle#sol=716ffd31d79bff19693da8c8416dec899138e659,PT Eka Bogainti,Ciracas,"What you'll be doing | Able to apply the fuctions in each Module SAP 4HANA RISE | Able to apply existing business processes in SAP 4HANA RISE | Able to create business and technical process development plans SAP 4HANA RISE | What we're looking for | Minimum 3 years of experience as an SAP 4HANA Specialist or similar role | Familiar with Functional & ABAP Programming | Experienced in SD, MM, PP, FM, PS, QM and EWM modules | Proven expertise in SAP 4HANA configuration, customisation, and integration | Strong analytical and problem-solving skills to identify and resolve complex technical issues | Experience in project management and leading cross-functional teams | Excellent communication and interpersonal skills to effectively collaborate with stakeholders",[]
Sales Engineer,https://id.jobstreet.com/id/job/91423993?type=standard&ref=search-standalone&origin=cardTitle#sol=0a57830ffcdbf2eb1cd2c1ff26f8836ff848dc06,TalentGo,Tangerang,"This is a full-time hybrid role for a Sales Engineer based in Jakarta, Indonesia, with flexibility for some remote work. The Sales Engineer will be responsible for bridging the technical understanding between the team and clients. Daily tasks include presenting technical solutions to prospects, offering technical support, collaborating with the sales team to understand client needs, and ensuring customer satisfaction by addressing technical inquiries and challenges. The role is pivotal in securing business opportunities while maintaining strong client relationships. | 💼 | Responsibilities | Bridge technical understanding between internal teams and clients | Present technical solutions to prospective clients (prospects) | Provide technical support to clients throughout the sales process | Collaborate with the sales team to understand client needs | Handle clients’ technical questions and challenges | Maintain and improve customer satisfaction | Support business acquisition efforts and help secure sales opportunities | Build and maintain strong relationships with clients | ✅ Qualifications | Strong Sales Engineering and Technical Support skills to effectively provide technical solutions and resolve customer issues | Bachelor's degree in Engineering, Computer Science or IT related fields | Proficiency in Sales and Customer Service to foster and maintain excellent client relationships | Exceptional Communication skills to collaborate effectively with internal teams and external clients | Ability to analyze complex business needs and merge them with technical solutions | Experience in the IT or technology sector is a plus | Proven ability to work in a fast-paced, hybrid environment",[]
