Job Title,Job URL,Company,Location,Job Description,required_skills
SAP Logistics Consultant,https://id.jobstreet.com/id/job/91314525?type=standard&ref=search-standalone&origin=cardTitle#sol=a080d042f6662bde397bb62d5cbab637be62be78,PT Mitra Adiperkasa Tbk,Jakarta Pusat,"Key Responsibilities | Assist in the | configuration and support | of logistics modules such as | SAP MM (procurement/inventory) | , | SD (order management) | , and | EWM (warehouse execution) | . | Participate in workshops, documenting logistics requirements related to | store replenishment | , | goods movement | , | purchase orders | , and | sales orders | . | Support | data preparation | including | article master | , | site/vendor/customer master | , and | initial stock loads | . | Contribute to | testing efforts | by helping prepare test scripts, executing UAT scenarios, and logging defects. | Collaborate with functional and technical teams to investigate | logistics-related issues | and recommend fixes or improvements. | Help monitor | integration with external systems | like POS, WMS, and TMS under senior consultant guidance. | Assist in preparing | training materials | , user guides, and support documentation. | Work in an agile environment supporting | daily standups, sprint reviews | , and backlog grooming activities. | Qualifications | 2+ years of experience in SAP Logistics (internship or support exposure is a plus). | Foundational knowledge of | SAP MM/SD | processes; exposure to | EWM or LE | is an advantage. | Interest in | retail supply chain processes | such as procurement, store replenishment, and fulfillment. | Strong problem-solving, organizational, and communication skills. | Ability to follow structured delivery methods and attention to detail in documentation. | Bachelor’s degree in | Logistics, Supply Chain, Information Technology | , or a related discipline.","[""Agile""]"
Front-End Developer – 8th hire at a Startup!,https://id.jobstreet.com/id/job/91464109?type=standard&ref=search-standalone&origin=cardTitle#sol=80183c12ea66a0d436fac0731698e167c04484ac,NAVEGaid,Jakarta Selatan,"I'm an | entrepreneur from Germany | running a team in | Indonesia | , and I'm looking for a | Front-End Developer | to be my | 8th team member | ! This is an exciting opportunity to get in at the ground level of a growing business. | Initially, this role will be | freelance (full-time or part-time) | while I set up the company, with the | goal of transitioning to a full-time position after 4 months | . The role is | Jakarta-based | , with the possibility of becoming | 100% remote after the first year | . If you're looking for long-term growth, ownership, and the chance to shape how we work from day one, this is for you! | Responsibilities | Develop and customize | Shopify themes | using | HTML, CSS, JavaScript, and Liquid | Collaborate with our team to create, optimize, and scale e-commerce stores | Improve store speed, performance, and mobile responsiveness | Integrate third-party apps and services via | REST APIs and GraphQL | Troubleshoot and resolve technical issues efficiently | What We're Looking For | Minimum 1+ years of frontend development experience is required | Fluent in English (spoken and written) | – communication is key! | Proficiency in | HTML, CSS, JavaScript (Vanilla or frameworks like React/Vue) | Some experience (or strong willingness to learn) | WordPress & Liquid | Familiarity with APIs, version control (GitHub), and Agile workflows | Strong problem-solving skills and attention to detail | Entrepreneurial mindset | – someone who takes initiative and works independently | Good communication skills—able to discuss ideas and propose solutions | Why Join? | 🚀 | Be the 8th hire | – play a key role in shaping the company | 📍 | Jakarta-based (or willing to move to Jakarta for your first year) | – with the possibility of becoming | 100% remote after the first year | 📈 | Career growth | – start as a freelancer and transition into a full-time role | 💰 | Competitive pay + Bonuses | for performance and loyalty | 🕒 | Flexible working hours | – work when you're most productive | 🏢 | WeWork membership | – access to a professional co-working space in Jakarta | How to Apply | Let me know that you're the right fit by answering this in your cover letter: | 👉 A Shopify store loads slowly on mobile. What steps would you take to identify and fix the issue? (Keep it practical—no need for a perfect answer. We're interested in how you think.) | Feel free to explain your approach or provide a code snippet!","[""JavaScript"", ""HTML"", ""CSS"", ""React"", ""Vue"", ""GitHub"", ""GraphQL"", ""Agile""]"
Back End Developer (Talent Pool) - Supervisor,https://id.jobstreet.com/id/job/91830782?type=standard&ref=search-standalone&origin=cardTitle#sol=7c7db3cac594fa2e1b7e81630bb977c5405908d8,Erajaya Group,Jakarta Raya,"Job Description | Actively and directly contributing to code reviews, architecture and process improvements | Work with your team to build features/services, to maintain, improve and clean the code that your team owns | Coordinate with stakeholders (Product, QA, Scrum Master, etc) | Willing to learn and work across the tech stack to solve the business problem at hand | Job Requirements | Have solid analytical thinking and system design skill | Good problem solving skills | Knowledge in microservices architecture | Have experience using Golang min 1 year and MySQL/NoSQL/PosgreSQL/Elasticsearch | Experience in system architecture design for highly-scalable and highly-available system | Nice to have experience using messaging system like Google Pubsub/RabbitMQ/Apache Kafka | Nice to have experience using Google Cloud Platform/AWS","[""Golang"", ""AWS"", ""MySQL"", ""Scrum"", ""QA""]"
Presales Engineer,https://id.jobstreet.com/id/job/91792539?type=standard&ref=search-standalone&origin=cardTitle#sol=9e242a8fd0bc7634ec7d53ec44c552ec7dfa3df3,PT Mastersystem Infotama,Kemayoran,"Job Description | Job Description | Supports the presales process | Support Sales team for answering RFI, RFP and BOM | Work closely with internal product team | PoC | Work closely with the Sales team in articulating solutions to customer | Work closely with the Delivery team in providing pre-project scope of work, to size for professional services | Gather the Business and technical requirement and develop cost effective solution for the customer | Develop proposal documentation, pricing, and statements of work for customers | Learn other digital technologies, from a high level, that may enhance the customer’s experience | Obtain and maintain certifications for the different product lines available | Minimum Qualifications | Minimum Qualifications | The candidate should a CCNP certification or equivalent | Deep cisco or networking devices product knowledge | Familiar with Cisco tools such as Cisco CCW, GVE, DCloud, Evng and etc. | Able to design and propose network solution for Campus LAN, WAN, Wireless, Datacenter and etc. | Familiar with Software Defined Network (SDN) technology. | Familiar with Networking diagram such as physical and logical topology. | Good document writing skill (indonesia and english) such Proposal, BoQ etc | Familiar with tender document such as RFP, Term of Compliance (TOC) etc | Have experience as Presales or Network Engineer or Equivalent (preferable).","[""Networking"", ""Cisco""]"
Frontend Developer,https://id.jobstreet.com/id/job/91576812?type=standard&ref=search-standalone&origin=cardTitle#sol=2af162113b94a48bc0a12852bd0021d502f4ae49,PT Kamoro Maxima Integra,Jakarta Selatan,"As a Frontend Developer, | you will be responsible for building responsive, user-friendly interfaces and ensuring seamless performance across various devices and browsers. You will translate client requirements into functional, visually appealing, and interactive applications. | Requirements: | Bachelor’s degree in Computer Science or related field | Minimum 2 years of experience as a Frontend Developer or similar role | Proficient in modern frontend technologies: | HTML, CSS, JavaScript, and Vue.js, | Experienced in integrating APIs from various backend services | Comfortable working with Agile methodologies and Git-based version control | Able to thrive in a fast-paced environment while handling both maintenance and new development | Willing to work from office and to be placed in insurance company | Why Join Us? | We offer v | ery attractive salary | and | outstanding benefits. | Most of our clients are multinational company which you will be exposed to a large IT | environment and valuable experience | in | international scale projects | . | You will | always learn new things | as our projects always adopt latest technology and best practice available in the market. | Last but not least, we offer a supportive and encouraging environment that puts the emphasis on teamwork. Here, | your soft skill | (professional relationships, character, attitude) | will grow | as fast as your technical skill.","[""JavaScript"", ""HTML"", ""CSS"", ""Vue"", ""Git"", ""Agile""]"
DevOps Engineer - Infrastructure & Platform Operations,https://id.jobstreet.com/id/job/88310431?type=standard&ref=search-standalone&origin=cardTitle#sol=c968330a7b7922ba5b5a0319f628ad27345d4bec,PT. KODE KOLEKTIF INDONESIA,Jakarta Raya,"Design, implement, and manage automated infrastructure provisioning | Build and maintain CI/CD pipelines for reliable deployment | Monitor system performance, uptime, and security | Collaborate with developers to align infrastructure with application requirement | Implement and test disaster recovery and business continuity plans | Automate operational workflows to improve reliability | Ensure compliance with gaming and data security regulations | Advise on architecture and capacity planning | Troubleshoot production issues and implement proactive solutions | Maintain documentation and operational runbooks | Requirements | 3+ years of experience in DevOps, SRE, or Infrastructure Engineering | Expertise with AWS, Google Cloud, or Azure | Strong hands-on experience with Docker and Kubernetes | Experience with CI/CD tools (Jenkins, GitLab CI, GitHub Actions, etc.) | Proficiency with monitoring and logging tools (Prometheus, Grafana, ELK Stack) | Strong scripting in Bash, Python, or Go | Solid understanding of MySQL/MariaDB administration and optimization | Familiarity with SSL/TLS, IAM, and firewall configurations | Advanced Git workflows and branching strategies | Nice to Have: | Familiarity with microservice and container orchestration | Knowledge of Laravel, Golang, or Nodejs deployment | Experience with Redis clustering & CDN implementations | Cloud certification","[""Python"", ""Go"", ""Golang"", ""NodeJS"", ""Laravel"", ""AWS"", ""Azure"", ""Docker"", ""Kubernetes"", ""Git"", ""GitHub"", ""GitLab"", ""CI/CD"", ""Jenkins"", ""MySQL"", ""Redis""]"
DevOps Engineer,https://id.jobstreet.com/id/job/91823480?type=standard&ref=search-standalone&origin=cardTitle#sol=74e231f9dbc0a4176bbd189699fee17bec5c9ee3,Amdocs,Jakarta Raya,"Amdocs helps the world’s leading communications and media companies deliver exceptional customer experiences through reliable, efficient, and secure operations at scale. We provide software products and services that embed intelligence into how work runs across business, IT, and network domains –delivering measurable outcomes in customer experience, network performance, cloud modernization, and revenue growth. With our talented people, and more than forty years of experience running mission-critical systems around the globe, Amdocs runs billions of transactions daily. Our technology is relied on every day, connecting people worldwide and advancing a more inclusive, connected world. Together, we help those who shape the future to make it amazing. Amdocs is listed on the NASDAQ Global Select Market (NASDAQ: DOX) and reported revenue of $4.53 billion in fiscal 2025. For more information, visit www.amdocs.com | At Amdocs, our mission is to empower our employees to 'Live Amazing, Do Amazing' every day. We believe in creating a workplace where you not only excel professionally but also thrive personally. Through our culture of making a real impact, fostering growth, embracing flexibility, and building connections, we enable them to live meaningful lives while making a difference in the world. | 1. Software Developer | 2. Software Engineer | 3. DevOps Engineer | 4. Senior Software Engineer | 5. Senior DevOps Engineer","[""Excel""]"
Senior Front End Engineer,https://id.jobstreet.com/id/job/91461102?type=standard&ref=search-standalone&origin=cardTitle#sol=6a7a92ca3b18fbfdd92fd21009ac1f6dab327837,Impian Anak Indonesia,Batam,"Apply at https://forms.gle/ydWzZ9ztnzG4f9Yo9 | About Bukumed | Bukumed is a | healthcare SaaS platform | digitising the operations of medical facilities across Indonesia — from primary clinics and pharmacies to independent practices. We are not just software. We are building | Indonesia's digital health infrastructure | , integrated with SatuSehat, BPJS, and international FHIR standards. | Our product is used every day by doctors, pharmacists, and clinic staff. That means: | every line of code you write has a real impact on patient care quality. | We are growing fast. We are now looking for a | Senior Frontend Engineer | who does not just know how to build interfaces — but knows how to | leverage AI to move faster and think smarter. | The Role | You will be the | full owner of the frontend experience | at Bukumed. Not a spec executor — but a technical partner who shapes how the product feels and works for non-technical users in clinical environments. | You will work across modules: EMR, pharmacy management, billing, patient queuing, and SatuSehat integration. All real-time. All high-stakes. | What You Will Do | Product & Interface | Build UIs that are | intuitive for clinic staff | — including nurses, pharmacists, and admins who are not tech-savvy | Translate complex clinical workflows into simple, efficient user flows | Build and maintain the | Bulan Design System | (MUI + Figma-based) to keep the product consistent across all modules | AI-Augmented Engineering | Use AI coding tools (Cursor, Claude Code, GitHub Copilot) as a | core part of your daily workflow | — not a novelty | Build UI components for AI-powered features such as streaming inputs, diagnosis suggestions, and document automation | Evaluate and validate AI-generated code | before it reaches production | Quality & Collaboration | Lead code reviews focused on quality, not just syntax | Collaborate directly with product, UX writing, and backend engineering (Go + PostgreSQL) | Ensure performance, accessibility, and compliance with Indonesian health data regulations (PMK, SatuSehat) | What We Are Looking For | Technical (Required) | 5+ years | building production-grade frontend applications | Strong | React + TypeScript | — hooks, state management, performance optimisation | Solid grasp of modern frontend architecture: component design patterns, code splitting, rendering strategies | Experience with REST APIs and real-time integrations (WebSocket or SSE) | Comfortable with testing: React Testing Library, Playwright, or Cypress | AI Literacy (Required) | Actively using AI coding tools as part of your daily workflow right now | Able to | write effective prompts | that produce accurate components and logic | Know | when to trust AI output | and when to write it yourself | Good to Have | Experience building UI for multi-role B2B SaaS products | Familiar with MUI, Figma-to-code workflows, or design systems | Prior experience in healthcare tech or with sensitive data environments | Experience with Next.js or other SSR frameworks | What We Are Not Looking For | Engineers who wait for perfect specs before moving | Developers who see AI coding tools as a threat rather than a tool | People who are comfortable staying only in their existing ""safe zone"" of technology | Our Stack | Frontend : React · TypeScript · MUI · Vite · Next.js Backend : Go · PostgreSQL · Redis Integrations : SatuSehat (FHIR) · BPJS · HL7 Infrastructure: AWS · Docker · GitHub Actions AI Tools : Claude Code · Cursor · GitHub Copilot | Interview Process | We respect your time. The process is short and relevant: | Take Home Assessment | (60 min max, async) — we review code or a project you have built; no LeetCode | Phone Interview | (30 min) — get to know each other; you share your experience and how you work | System Design & Live Coding | (60 min) — frontend architecture discussion + one real React scenario | Culture & Team Fit | — Virtual meet the product and engineering team | We will ask how you use AI in your workflow — not as a trick question, but because it is how we actually work. | What We Offer | Remote-first | with full flexibility (WIB timezone overlap required) | Competitive compensation + equity as an early team member | Direct access to product decisions — your voice matters | A fast-moving environment that does not sacrifice quality | The chance to build a product | used daily by Indonesian healthcare workers | Citizenship Requirement | This role is open to Indonesian citizens only. | We are building a product deeply rooted in Indonesia's healthcare system — SatuSehat, BPJS, PMK regulations, and the day-to-day realities of Indonesian clinic operations. We need someone who understands this context from the inside. | How to Apply | Submit here https://forms.gle/ydWzZ9ztnzG4f9Yo9 | Bukumed believes that good technology starts with engineers who care. If you want work that makes a real difference — this is it.","[""TypeScript"", ""Go"", ""React"", ""Next.js"", ""Figma"", ""AWS"", ""Docker"", ""GitHub"", ""PostgreSQL"", ""Redis""]"
Project Manager Big Data,https://id.jobstreet.com/id/job/91530579?type=standard&ref=search-standalone&origin=cardTitle#sol=2ed214757eb90f48293675e7df1f61cdb4a94a9f,PT Akhdani Reka Solusi,Kemayoran,"Job Description | Plan, manage, and oversee IT/Data projects end-to-end, from planning and execution to project closure. | Ensure projects run according to scope, timeline, budget, and quality standards. | Lead cross-functional project teams including developers, data engineers, data scientists, and other stakeholders. | Coordinate all parties involved in Data Governance and Data Analytics solutions. | Identify project risks and implement appropriate mitigation strategies. | Prepare project status reports and regularly update management and stakeholders. | Apply suitable project management methodologies (e.g., Agile, Scrum, Waterfall). | Maintain effective communication across all teams and stakeholders to ensure smooth project execution. | Minimum Qualifications | Minimum Bachelor's degree with at least 7 years of experience in IT project management. | Experience as Project Manager in at least 3 full cycle projects related to Data Governance, Application Development, Data Science, or Data Analytics. | Strong coordination skills with stakeholders involved in Data Governance and data analytics solutions. | Project Management certification (pmp, prince2) is a plus. | ​​​​​","[""Agile"", ""Scrum""]"
Engineering Manager,https://id.jobstreet.com/id/job/91515469?type=standard&ref=search-standalone&origin=cardTitle#sol=546d5f1435d23000604c726ca00716026397f5ed,PT Lingkar Niaga Solusindo,Jakarta Raya,"Deskripsi Pekerjaan | Job Descriptions : | Manage individual project priorities, deadlines, and deliverables | Perform and facilitate daily managerial tasks, such as, but not limited to, one-on-ones, agile ceremonials, meetings, and communications as per required or seen fit. | Align with other teams/managers/stakeholders, ensure clear and effective communication, mediate disputes, and improve the process, in order for the team to do their functions well to give the maximum impact. | Provide mentorship to direct-reports with regard to their personal technical competencies, career growth and interpersonal skill development. | Conduct technical interviews. | Assist Senior Managers in writing, deploying and achieving team OKRs | Able to anticipate needs from the management and provide visibility of team conditions. | Give insights and proposals regarding tech stacks, tools, and processes which enable teams to execute the work for the maximum impact. | Job Requirements: | S1/Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience. | Software development experience in one or more general-purpose programming languages such as PHP, Javascript, Python, Ruby or Go. | Familiar with server-side web frameworks such as Django, Laravel, or Node.js. | Familiar with javascript frameworks such as React, Vue or Angular. | Experience and enjoy working in a team environment. | At least 1 year of experience in leading Software Engineering teams. | Working proficiency and communication skills in verbal and written English | Open to exploring, learning, and implementing new technologies and concepts | Interest and ability to learn other programming languages as needed | Understand relevant software engineering and computer science concepts","[""Python"", ""JavaScript"", ""PHP"", ""Go"", ""Ruby"", ""React"", ""Vue"", ""Angular"", ""Node.js"", ""Laravel"", ""Django"", ""Agile""]"
