Job Title,Job URL,Company,Location,Job Description,required_skills
IT Security & GRC (Lead/Manager),https://id.jobstreet.com/id/job/91746053?type=standard&ref=search-standalone&origin=cardTitle#sol=db2445c34dab6f084521c52ab99e7f8144fd53ca,PT Dwi Cermat Indonesia,Jakarta Raya,"Company Description | Cermati is a financial technology (fintech) startup based in Indonesia. Cermati simplifies the process of finding and applying for financial product by bringing everything online so people can shop around for financial products online and can apply online without having to physically visit a bank. | Our team hailed from Silicon Valley Tech companies such as Google, Microsoft, LinkedIn and Sofi as well as Indonesian startups such as Doku and Touchten. We have graduates from well known universities such as Universitas Indonesia, ITB, Stanford, University of Washington, Cornell and many others. We are building a company with the same culture of openness, transparency, drive and meritocracy as Silicon Valley companies. Join us in our cause to build a world class fintech company in Indonesia. | Job Description | Develop and maintain IT policies, standards, and procedures according to applicable internal and external requirements, including the applicable regulations in Indonesia (POJK, PBI) | Coordinate with the Compliance team to perform gap assessment. Recommend appropriate measures to mitigate risks. | Ensure that every initiative, development, and collaboration complies with the standards and regulations (internal and external) | Develop and implement the RBAC and least privilege of access management | Assess the effectiveness of IT controls, policies, and procedures in place to safeguard information assets, ensure data integrity, and maintain system availability | Coordinate with the related IT work units to follow up on data requests and the implementation of audit recommendations (internal audit, external audit, and regulator) | Continuously update and implement the internal control framework, policies, and procedures to strengthen the organization's IT governance according to IT General Control, IT Application control, ISO 27001, PCI DSS, and other industry best practices | Socialization and regular awareness to ensure IT policy, procedures, guidelines, and standards are implemented in the day-to-day operations | Qualifications | A minimum of 3 years of experience as Information Security, IT Governance, Risk, and Compliance (IT GRC), or IT Auditor in banking or the financial service industry | Experience in developing and maintaining IT and/or information security policies and procedures | Demonstrate good communication and writing skills | Proven experience in implementing and/or auditing ISO 27001 and PCI-DSS standards | Good understanding of the applicable regulatory requirements (such as OJK, BI, and Kemkominfo) and how they impact IT policies | One or more of the following or equivalent certifications preferred: CISA, CRISC, CISSP",[]
DevOps / Cloud Engineer,https://id.jobstreet.com/id/job/91576176?type=standard&ref=search-standalone&origin=cardTitle#sol=271bd29a0d7575a136a4c040c416ca3fbf2b5c08,PT Simplify Consulting Indonesia,Jakarta Raya,"About the Role | You will operate the global backbone of Simplify’s platform. This role is critical in ensuring our systems run reliably, securely, and efficiently at scale. You’ll work closely with engineering teams to build and maintain robust cloud infrastructure and deployment systems. | What You Will Do | Own and manage | production environments | for Simplify’s AI platforms | Build, maintain, and optimize | CI/CD pipelines | for fast and reliable deployments | Manage and scale | Kubernetes-based infrastructure | Ensure | cloud security best practices | across all environments | Monitor system performance, uptime, and reliability for enterprise workloads | Drive | cloud cost optimization (FinOps) | and resource efficiency | Collaborate with engineering teams to improve system architecture and scalability | Requirements | 2–8 years of experience in | DevOps / Cloud Engineering | Strong hands-on experience with at least one cloud provider: | AWS, Azure, or Google Cloud | Experience with | containerization & orchestration | (Docker, Kubernetes) | Familiarity with | Infrastructure as Code | (Terraform preferred) | Experience building or maintaining | CI/CD pipelines | Understanding of | monitoring, logging, and cloud security practices | Strong problem-solving skills and ability to work in production-critical environments | Nice to Have | Experience with | high-scale SaaS or AI/ML platforms | Knowledge of | FinOps / cloud cost management tools | Why Join Simplify | Work on | cutting-edge AI infrastructure at global scale | High ownership and impact on core systems | Collaborative and fast-moving engineering culture | Opportunity to shape cloud architecture and best practices","[""AWS"", ""Azure"", ""Docker"", ""Kubernetes"", ""CI/CD""]"
Lowongan Kerja Senior .Net Engineer,https://id.jobstreet.com/id/job/89100232?type=standard&ref=search-standalone&origin=cardTitle#sol=ad41e998c13f78d946f3849453a14b32b32faae9,PT Berlian Sistem Informasi,Jakarta Raya,"Info Terbaru Lowongan Kerja Senior Net Engineer Jakarta Desember 2025 di PT Berlian Sistem Informasi | . Selamat Siang untuk kawan-kawan yang sedang mencari pekerjaan. Semoga tidak berhenti untuk mencari pekerjaan yang cocok dengan impian Anda. Memang kadangkala mencari pekerjaan yang sesuai sangatlah tidak gampang di tahun 2025 ini. Pada kesempatan ini admin akan memberikan informasi Lowongan Kerja Senior Net Engineer Jakarta Desember 2025 di PT Berlian Sistem Informasi. Berikut ini info lebih lengkap mengenai Lowongan Kerja Senior Net Engineer Jakarta Desember 2025 PT Berlian Sistem Informasi. | Lowongan Kerja Senior Net Engineer Jakarta Desember 2025 PT Berlian Sistem Informasi | Berikut ini adalah kriteria yang harus Anda penuhi untuk memenuhi Lowongan Kerja Senior Net Engineer Jakarta Desember 2025 PT Berlian Sistem Informasi yang dibuka pada 10 Desember 2025 ini: | Gather, refine specifications, requirements based on technical needs | Write, analyze, and review program codes for new software development activity or existing software changes | Apply unit testing before release to QA and support for integration testing | Maintains code versioning | Analyzing software bugs, vulnerabilities and code smells | Deployment of new software or changes | Compile and write documentation of program development and subsequent revisions | Write or contribute to instructions or manuals to guide end users. | Requirements | Having experience delivering middle to large scale project in .NET Core / .Net 8 or above at least 6 years | Strong communication and teamwork abilities. | Able to communicate effectively in written and spoken English. | Ability to work independently and meet deadlines. | Proficiency with SQL Server, Stored Procedure, View | Proficiency with Java Script, JQuery. | Proficiency with Telerik KendoUI | Proficiency with Docker | Having experience in SonarQube would be an advantage | Having experience in other Javascript Framework would be an advantage. | Having experience in cloud technology (Azure, AWS, or Google Cloud) would be advantage | Excellent problem-solving and analytical skills. | Job Type: Full-time | Education: | S1 (Preferred) | Hanya kandidat yang memenuhi persyaratan di atas yang akan dipanggil untuk melakukan wawancara. Untuk itu jika Anda berminat dan memenuhi kandidat Lowongan Kerja Senior Net Engineer Jakarta Desember 2025 PT Berlian Sistem Informasi di atas, silahkan kirimkan lamaran Anda sebelum batas pendaftaran. | Demikian | informasi Lowongan Kerja Senior Net Engineer Jakarta Desember 2025 PT Berlian Sistem Informasi | yang dapat kami sampaikan. Semoga info lowongan kerja hari ini membantu Anda sekalian yang sedang mencari pekerjaan. Jika Info lowongan kerja di atas tidak sesuai dengan impian Anda, tidak ada salahnya untuk membaca informasi lowongan kerja lainnya di bawah ini. Akhir kata kami ucapkan kam sia sudah mengunjungi website ini, jangan lupa untuk membagikan info bermanfaat ini melalui facebook dan twitter. Selamat mencari kerja dan berkarya! | Jika sahabat tertarik melamar | Lowongan Kerja Senior Net Engineer Jakarta Desember 2025 PT Berlian Sistem Informasi | , segera siapkan berkas dan dokumen yang dipersyaratkan untuk melamar Lowongan Kerja Senior Net Engineer Jakarta Desember 2025 PT Berlian Sistem Informasi tersebut. Silakan klik tombol ""Kirim Lamaran"" di bawah ini. | Kirim Lamaran","[""SQL"", ""Java"", ""JavaScript"", ""AWS"", ""Azure"", ""Docker"", ""QA""]"
Application Developer (.Net & Angular Js),https://id.jobstreet.com/id/job/91425191?type=standard&ref=search-standalone&origin=cardTitle#sol=089a220c6e7362551e12744496eb839aa5ae6fea,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,"Notes | Status: PKWT 3  months under Sigmatech (extendable) | Placement: D | igital service provider industry | (WFO, South Jakarta) | Salary: for junior 8 mio gross + 500.000 transport allowance, for senior 14 mio gross + 500.000 transport allowance | Benefit: Laptop provided, BPJS Kesehatan & Ketenagakerjaan, Kompensasi UUCK 100%, THR Prorate | Job Description: | Design, develop, and maintain robust web applications using C# and ASP.NET Core. | Build responsive and dynamic user interfaces using Typescript and modern JavaScript frameworks (primarily React or Vue). | Manage and optimize data flows using SQL Server, Entity Framework, and advanced PL/SQL operations (Procedures, Functions, DDL/DML). | Implement structured web development practices using MVC, Repository Pattern, DTO, and Microservices architecture. | Work within an Agile environment, collaborating with cross-functional teams to deliver high-quality software solutions. | Write clean, efficient, and maintainable code while ensuring comprehensive version control using Git/GitHub. | Support the deployment process through Azure DevOps and CI/CD pipelines. | Requirements: | Minimum 2 years of experience in C# and ASP.NET Core. Proficiency in Python is a significant plus. | Deep understanding of RESTful API concepts and integration. | Strong mastery of Typescript and JavaScript frameworks such as React or Vue (Experience with Angular is a plus). | Solid experience with SQL Server and Entity Framework. | Advanced skills in PL/SQL (DDL, DML, DCL, TCL, Procedures, Views, and Functions). | Familiarity with Model-View-Controller (MVC), Repository Pattern, DTO, and Microservices. | Familiar with Git, Code Versioning, and Repositories. | Knowledge of Azure DevOps, CI/CD pipelines, and Docker is a plus. | Adaptive to new technologies and comfortable working in an Agile environment.","[""Python"", ""SQL"", ""JavaScript"", ""TypeScript"", ""React"", ""Vue"", ""Angular"", "".NET"", ""Azure"", ""Docker"", ""Git"", ""GitHub"", ""CI/CD"", ""DDL"", ""API"", ""Agile""]"
[165] Senior PHP Developer,https://id.jobstreet.com/id/job/87867558?type=standard&ref=search-standalone&origin=cardTitle#sol=fc5ff50ec0c3244d55efa7760019048799a0a397,Granitor/CheckProof,Bandung,"We are looking for a | skilled Senior PHP Developer | to join our team! In this role, you will: | Build | comprehensive tooling | to ensure high-quality applications | Work on | high-traffic applications | with real-world impact | Contribute to | CheckProof’s future technology roadmap | The Perks: | Learn and collaborate with team members from all over the world | Opportunities to level up your career | Work device is provided | Initially on-site, transitioning to hybrid (3-4 days in the office) | A culture of transparency, collaboration, and innovation | ‍ | What We’re Looking For: | Experience: | At least 6 years as a PHP developer | Technical Skills: | Strong expertise in | PHP (8.3) and Laravel Framework, SQL databases (PostgreSQL/MySQL), Redis | . | Experience with | RESTful APIs | . | Excellent understanding of | micro-service architecture, complex database queries, queues, Docker, Git, CI/CD development | practice and web development best practices. | Write efficient | PHPUnit tests | . | Security development awareness. | Agile methodology experience and understanding of software engineering practices. | Performance & Collaboration: | Experience with performance optimization tools. | Ability to | write clean, efficient, and well-documented code | . | Continuously evaluate and | improve the performance, scalability, and reliability | of the company’s backend systems. | Strong communication and interpersonal skills | and the ability to effectively collaborate with cross-functional teams. | Excellent | English communication skills | —both verbal and written | Ability to | quickly learn and adapt to new technologies and frameworks | Bonus if you have experience with Frontend & Backend Technologies: | Angular/EmberJS/Typescript and MongoDB | ‍ | Location: | Bandung | Type: | Full-time | Start: | Immediate | Salary Range: | 15-25 mio/month | Company Website: | Granitor www.granitor.se/en/systems/apac | CheckProof www.checkproof.com | BINAR Academy aims to unlock and channel human potential so we can help the world turn into a better place. One of the ways we strive to do that is to channel potential talents to impactful opportunities using our very own job connector, | BINAR Job Connect | . | BINAR Job Connect has connected up to 250 talents & candidates; whether it be young & aspirational fresh graduate to tech-savvy team leaders, individuals who decided to start from scratch, and junior engineers to skilled product managers to our experienced hiring partners. BINAR Job Connect provides various options of employment, as we intend that everyone processed by us can choose the best career track for them.","[""SQL"", ""TypeScript"", ""PHP"", ""Angular"", ""Laravel"", ""Docker"", ""Git"", ""CI/CD"", ""MySQL"", ""PostgreSQL"", ""MongoDB"", ""Redis"", ""Agile""]"
Full Stack Developer - (Public Sector),https://id.jobstreet.com/id/job/91178141?type=standard&ref=search-standalone&origin=cardTitle#sol=8b5c04640858410b45734390f5bd8a514351a6cb,PT Xtremax Teknologi Indonesia,Bandung,"At Xtremax, we believe great developers aren’t just coders — they’re thinkers, problem-solvers, and collaborators. If you have | strong technical fundamentals | , a curious mind, and the drive to grow fast, this program is designed to accelerate your journey. You’ll work alongside experienced mentors, contribute to real projects, and develop the skills to become a future tech leader. | We are looking for a Software Engineer who is not only strong in web development, but has proven experience solving real-world problems using Generative AI. | You are someone who: | Has built or shipped solutions where GenAI was a core part of the system, not just a demo | Uses AI to automate manual processes and save significant time | Actively experiments with new tools, frameworks and models | Enjoys end-to-end ownership — from design to deployment | You’ll be part of a cross-functional team that values quality, automation, experimentation and user experience. | Responsibilities | Core Engineering Responsibilities | Design and develop modern web frontend and backend (primary) applications | Develop backend APIs and databases supporting applications | Write automated unit and functional tests | Design and develop applications leveraging cloud technologies (AWS, Azure, GCP) | Assist in build and release automation with DevOps practices | Participate in pair programming and code reviews | Work closely with Business Analysts, Quality Engineers and UX Designers to deliver user-centric features | GenAI & Innovation Responsibilities | Design and implement features leveraging Large Language Models (LLMs) and other Generative AI technologies | Build AI-powered automation tools to reduce manual operational effort | Integrate LLM APIs (e.g., OpenAI, Anthropic, Azure OpenAI, etc.) into production systems | Implement prompt engineering, RAG (Retrieval-Augmented Generation), or agent-based workflows where applicable | Evaluate new GenAI tools/frameworks and assess production-readiness | Prototype rapidly and translate experiments into production-ready systems | Collaboration & Delivery | Work closely with Product/Project Managers, Architects, Business Analysts, Quality Engineers, UX Designers, and fellow engineers. | Participate in Agile ceremonies and iterative delivery | Communicate clearly with onshore stakeholders despite offshore setup | Produce technical documentation and support knowledge transfer where required | Requirements | Core Engineering | Experience with frontend frameworks such as React.js / Next.js | Experience with server-side development using Node.js | Experience with relational databases (e.g. PostgreSQL, MySQL) and data models | Experience working with CI/CD pipelines | Experience with cloud platforms (AWS, Azure, GCP) | Familiar with JavaScript testing frameworks such as Jest or Mocha | Familiar with Agile and Continuous Integration/Delivery practices | Experience using Git for version control | GenAI Experience | Demonstrated experience building systems that: | Use LLMs or other GenAI models as part of the core solution | Automate workflows or significantly reduce manual effort | Experience with: | Prompt engineering | Vector databases (e.g., Pinecone, Weaviate, OpenSearch, etc.) or semantic search | RAG architectures or AI agent workflows | Evaluating model output quality and reliability | Ability to explain trade-offs in model selection, latency, cost, and safety considerations | Preferred | Minimum 4 years of software development experience | Strong fundamentals in JavaScript & TypeScript | Familiarity with building reusable web components | Familiarity with how search engine components work (crawl, index, search) | Familiar with TDD / BDD practices | Experience with Docker and containerization | Experience designing AI systems with observability, evaluation, and guardrails | Collaborative team player with strong communication and presentation skills | Passion for exploring emerging technologies and sharing knowledge with the team | Nice-to-Have | Experience with government, regulated, or enterprise systems | Exposure to microservices or distributed systems | Experience working in offshore or distributed teams | Prior work involving audit, documentation, or structured governance | Why Join Us | 🌍 | Meaningful impact | — contribute to digital projects that serve government and enterprise clients. | 💡 | Culture of learning | — we value curiosity, open communication, and taking ownership. | Benefits | By submitting your resume/CV, you consent and agree to allow the information provided to be used and processed by or on behalf of Xtremax Pte Ltd for purposes related to your registration of interest in current or future employment with us and for the processing of your application for employment. | You also represent to us that you have obtained the consent of your referees when you disclose to us their personal data for the purpose of conducting reference checks. | The personal data held by us relating to your application will be kept strictly confidential and in accordance with the PDPA. You may also refer to our Privacy Policy for more details here: https://www.xtremax.com/privacy-policy | We regret to inform you that should you not consent to providing the necessary data required for us to process your application, your application will be considered void.","[""JavaScript"", ""TypeScript"", ""React"", ""Next.js"", ""Node.js"", ""AWS"", ""Azure"", ""GCP"", ""Docker"", ""Git"", ""CI/CD"", ""MySQL"", ""PostgreSQL"", ""Generative AI"", ""GenAI"", ""LLM"", ""Prompt Engineering"", ""Agile""]"
Senior Frontend Engineer,https://id.jobstreet.com/id/job/91403926?type=standard&ref=search-standalone&origin=cardTitle#sol=4d8e605411a4a541aab859c1e7b44a61cc4be45b,PT. ECCO Tannery Indonesia,Indonesia,"Location: Surabaya, Indonesia | Do you want to become an ambassador for a globally recognized high quality brand? | Are you ready for the new challenges? | Join our organization and help us build the best | in class | global IT function that is technologically sound, future proof and can react quickly to ever-changing demands! | Some career choices have more impact than others. When you join ECCO, you become part of a global family where we value people who do things differently. | BE DIFFERENT AND FIT IN! | Job Purpose | As a Senior Frontend Engineer within our eCommerce team, you will help shape the future of our digital shopping experience. In this high-impact role, you will build performant, scalable, and user-friendly interfaces using Next.js, React, and modern web technologies. Your work will directly influence customer engagement and conversion across our global online platforms. | Responsibilities | Optimize performance, accessibility, and SEO across all pages and components. | Collaborate closely with product owners, designers, and backend engineers to deliver seamless user experiences. | Stay up to date with the latest frontend technologies and advocate for best practices. | Architect reusable components and scalable frontend systems | Implement and maintain CI/CD pipelines and frontend testing strategies. | Lead the development of new features and enhancements using Next.js, React, and TypeScript. | Mentor junior developers and contribute to code reviews and technical discussions. | Requirements | 5+ years of front-end development experience with a strong focus on React and Next.js. | Deep understanding of TypeScript, modern JavaScript and browser fundamentals. | Experience building and maintaining large-scale web applications, in high-traffic e-commerce environments. | Solid understanding of SSR, SSG, ISR, and edge rendering strategies, including trade-offs between performance, cost, and complexity. | Experience working with headless CMS, search platforms and API-driven architectures (GraphQL/REST). | Strong focus on web performance (Core Web Vitals), accessibility (WCAG), and SEO best practices. | Experience with Git, modern CI/CD workflows, and frontend testing frameworks (e.g., Jest, Playwright). | Proactive mindset - able to identify improvement opportunities and drive them independently, not just execute assigned tasks. | Strong problem-solving skills with the ability to identify root causes and propose pragmatic solutions in production systems. | Collaborative team player committed to delivering high-quality outcomes. | Excellent oral and written communication skills in English. | CREATE THE FOOTPRINTS OF TOMORROW | At ECCO, you become part of a meaningful, developing and multicultural workplace. You join a global family of more than 25,000 people who are proud to create the footprints of tomorrow. | Headquartered in Denmark, we are a family-owned company that offers international opportunities. Our offices and facilities have an informal culture and relaxed dress code – our shoe code is slightly stricter. | Join us and we guarantee lifelong learning – the speed of progress is up to you. So, if you’re curious, passionate and ready to make an impact, you’ll fit right in.","[""JavaScript"", ""TypeScript"", ""React"", ""Next.js"", ""Git"", ""CI/CD"", ""API"", ""GraphQL""]"
Software Engineer In Test Automation Testing (junior- senior level),https://id.jobstreet.com/id/job/91793705?type=standard&ref=search-standalone&origin=cardTitle#sol=a018eb21cae120a4a7924a8f9cc174f20b98d1bf,PT Dwi Cermat Indonesia,Jakarta Raya,"Job Description | Create detailed, comprehensive and well-structured test plans and test cases | Design, develop and execute automation scripts using open source tools that is fast, scalable, easy to monitor and maintain | Create code that's easy to read | Able to perform Test Automation and set up frameworks on multiple application platforms like Web, Mobile - Android and API | Work with the team to maintain, improve and clean your code | Review each other's code and learn the software engineering best practices | Work with deployments teams and resolve issues for the system | Build and manage automated build/test/deployment environments | Qualifications | A formal degree in Computer Science is preferred, but junior candidates with demonstrable skills and experience are equally valued | 3 - 5 years of overall experience in software testing for Mid to Senior level, with strong focus on automation. | Hands-on experience in Web, Mobile, and API automation using tools like Selenium, Appium, and REST-based tools. | Strong programming skills in at least one language (Java, Python, or JavaScript) with the ability to write clean and maintainable automation code. | Experience working with automation frameworks such as WebdriverIO and BDD frameworks (e.g., Cucumber), including | contributing to framework improvements. | Good understanding of SDLC and STLC, with experience in Agile development environments. | Experience in designing test strategies, writing test cases (positive, negative, edge cases), and identifying automation | opportunities. | Practical exposure to CI/CD pipelines (e.g., Jenkins, GitHub Actions), including integrating and maintaining automation suites. | Experience in maintaining and scaling automation suites, ensuring stability and reliability of test execution. | Ability to take ownership of features/modules and collaborate with cross-functional teams","[""Python"", ""Java"", ""JavaScript"", ""GitHub"", ""CI/CD"", ""Jenkins"", ""API"", ""Agile"", ""Software Testing""]"
Senior Data Scientist (Analytics) - Grab Financial Services,https://id.jobstreet.com/id/job/91406328?type=standard&ref=search-standalone&origin=cardTitle#sol=81c3439fa4ef6df4532097d57f36ea9d28088407,Data Analytics,Jakarta Raya,"Get to Know the Team | GrabFin Analytics team supports the GFin product and business organisations, across Payments, Lending, Insurance, and Kios. As a Senior Data Scientist (Analytics), you will be part of the Lending tech family where we strive to be the best FinTech company in the region. Our team is focused on understanding user experiences and partnering with Business, Product, Design, and Tech teams to achieve the right outcomes. We are integral to product development, from understanding user journeys with UX designers, to developing hypotheses, through to post-rollout optimisation. | Get to Know the Role | You will use data to understand user needs and be the de-facto Voice of the Customer (users, driver-partners, merchants, agents) across Lending's suite of products. You will leverage data to unveil insights to help launch, improve and scale our products. You will champion data-driven decision-making within GFin and partner with Product Managers, Business Owners, UX Designers, and Engineers to design analytical projects that drive the Product roadmap. You will provide thought leadership and generate data-driven hypotheses to solve key Product and Business problems, and drive our GFin strategies forward. You will report into the Lending Analytics Manager and work onsite in the Jakarta South Quarter office. | The Critical Tasks You Will Perform | You will partner with product, design, and engineering teams to derive insights, design experiments, and drive key product decisions. | You will support strategic plans with data insights, performing deep-dives into user behaviour, segmented views and product efficacy. | You will provide tailored analysis for specific products and strategies, define critical business and product metrics, and make regular recommendations for continuous improvements. | You will design, measure, and recommend A/B tests and multivariate experiments, including layout optimisation, UI/UX efficacy, algorithm effectiveness, and API performance. | You will analyse clickstream and transactional data to uncover insights on user behaviour and drive product metrics. You will manage instrumentation for all feature releases within assigned tech families within GFin. | You will develop self-serve solutions for stakeholders that are scalable and automated to handle a product environment. You will drive plans involving Large Language Models or Generative Artificial Intelligence.","[""UI/UX"", ""API""]"
Full Stack Engineer,https://id.jobstreet.com/id/job/87829221?type=standard&ref=search-standalone&origin=cardTitle#sol=2bf545b1629e8261ed5a0cc04c698ce96642484c,WireHire,Jakarta Raya,"At our company, we translate strategy into running software. In this role, you will rapidly build functional prototypes (thin slices), validate them with users, and strengthen successful ones into scalable, stable services. | Key Responsibilities | 1. Product Development | Scope proof of concepts (PoC) from business intent with clear acceptance criteria. | Deliver vertical thin slices across UI, API, data, and deployment layers. | Instrument usage, latency, and error tracking to validate ideas or terminate them quickly. | Evolve PoC into pilot and production stages through iterative hardening. | Align models with the business domain using Domain-Driven Design (DDD) and bounded contexts. | Operate and maintain the services you build using CI, observability tools, and repeatable templates. | 2. Ways of Working | Apply Agile principles with weekly demos and concise decision logs. | Use Systems Thinking to map workflows, identify constraints, and establish feedback loops. | Implement DDD to define clear domains and anti-corruption layers. | Focus on pragmatic 80/20 solutions that deliver measurable impact. | Document effectively with concise Architectural Decision Records (ADRs) and runnable readme-first repositories. | Design solutions with security, cost-efficiency, and least privilege in mind. | Communicate with structured, pyramid-style logic and clear so-what summaries for stakeholders. | 3. Technology Consulting | Lead discovery sessions to define value hypotheses and leading metrics. | Translate business goals into architectural choices, highlighting trade-offs and total cost of ownership (TCO). | Develop a roadmap that balances quick wins with long-term technical foundations. | Define service level objectives (SLOs), runbooks, and governance basics. | Advise on build-versus-buy decisions and support vendor evaluations with objective criteria. | Prepare client teams for success through comprehensive handover plans and checklists. | Facilitate decision-making forums that surface risks, outline options, and determine next actions. | Preferred Technical Stack | Languages: Python, JavaScript | Backend: FastAPI (Python), Node.js (as needed) | Frontend: React with utility-first CSS | Data: PostgreSQL, Redis, object storage, lightweight analytics tools | Cloud: Azure, GCP, AWS, or Alicloud (managed PaaS preferred) | DevOps: Docker, GitHub Actions, Infrastructure as Code (IaC), OpenTelemetry or equivalent observability tools | Qualifications | Proven experience delivering full-stack solutions from PoC to production. | Skilled at breaking down work into incremental deliverables and shipping weekly. | Strong understanding of Agile methodologies, Systems Thinking, and DDD. | Hands-on experience with at least one major cloud provider (AWS, GCP, Azure, or Alicloud). | Excellent communication skills, especially when collaborating with product and domain stakeholders. | Bachelors degree in Computer Science or equivalent practical experience. | Experience working with AI or machine learning models is a strong plus.","[""Python"", ""JavaScript"", ""CSS"", ""React"", ""Node.js"", ""FastAPI"", ""AWS"", ""Azure"", ""GCP"", ""Docker"", ""GitHub"", ""PostgreSQL"", ""Redis"", ""API"", ""Machine Learning"", ""Agile""]"
