Job Title,Job URL,Company,Location,Job Description,required_skills
Data Center Technician - Indonesia - Kota Tangerang Selatan - On-site,https://id.jobstreet.com/id/job/91366587?type=standard&ref=search-standalone&origin=cardTitle#sol=8df9e6e22e3aeb1c6f75162ace59de184230bb58,RM Staffing B.V.,Kecamatan Tangerang,"About the Role | Join our team as a | Data Center Technician | in | Kota Tangerang Selatan, Indonesia | . This is a full-time, on-site position where you'll support critical infrastructure at world-class data center facilities. | Compensation & Benefits | Rp175,000,000-250,000,000/year | (IDR annual) | Comprehensive benefits package including: | Health, dental, and vision insurance | Paid time off and holidays | Professional development allowance | Certification sponsorship | Work Schedule | Full-time permanent position | Standard business hours with on-call rotation | Shift differentials for nights/weekends when applicable | Key Responsibilities | Install, configure, and maintain server and network equipment | Perform structured cabling (copper and fiber optic) | Execute hardware deployments and decommissions | Monitor environmental systems (power, cooling, security) | Respond to incidents and perform troubleshooting | Maintain accurate documentation and asset tracking | Collaborate with engineering and operations teams | Participate in capacity planning and upgrades | 3+ years data center operations experience | Expert cabling skills (Cat6/6a, OM3/OM4/OS2 fiber) | Strong troubleshooting and problem-solving abilities | Experience with rack and stack operations | Understanding of power distribution and UPS systems | Excellent documentation and communication skills | Ability to lift 50+ lbs and work in demanding environments | Data center certifications (CDCP, CDCS, CDCE) - preferred | Vendor certifications (Dell, HPE, Cisco) - preferred | Network certifications (CCNA, JNCIA) - preferred | Experience with DCIM platforms - preferred | Knowledge of ITIL practices - preferred","[""Cisco"", ""CCNA"", ""Troubleshooting""]"
Network Engineer On Site (Balikpapan),https://id.jobstreet.com/id/job/91699622?type=standard&ref=search-standalone&origin=cardTitle#sol=fbf047b4bb29a958e9ded9bb929871644d628a92,PT Provis Garuda Services,Balikpapan,"Kualifikasi: | Minimal D3 jurusan Teknik/IT atau terkait | Memiliki pengalaman minimal 1 tahun sebagai Network Engineer / IT Support / bidang terkait | Memahami dasar networking (routing, switching, troubleshooting) | Bersedia bekerja shift | Deskripsi Pekerjaan: | Melakukan instalasi dan konfigurasi perangkat jaringan (router, switch, access point, firewall). | Melakukan troubleshooting dan pemeliharaan jaringan (LAN, WAN, WLAN). | Memantau performa jaringan menggunakan tools seperti PRTG atau SolarWinds. | Menyusun laporan teknis hasil instalasi, pemeliharaan, dan troubleshooting. | Menjelaskan isu teknis kepada pelanggan non-teknis secara profesional. | Memastikan konfigurasi jaringan sesuai standar keamanan (VPN, firewall, enkripsi). | Berkoordinasi dengan tim internal dan eksternal untuk mendukung operasional di lokasi pelanggan. | Mematuhi prosedur K3 saat bekerja di lapangan, termasuk area berisiko tinggi.","[""Networking"", ""Routing"", ""Switching"", ""Troubleshooting""]"
Data Center Technician - Indonesia - Balikpapan - On-site,https://id.jobstreet.com/id/job/91366738?type=standard&ref=search-standalone&origin=cardTitle#sol=10981f6145f560d41e2be4dd8962eb8b83cf1251,RM Staffing B.V.,Balikpapan,"About the Role | Join our team as a | Data Center Technician | in | Balikpapan, Indonesia | . This is a full-time, on-site position where you'll support critical infrastructure at world-class data center facilities. | Compensation & Benefits | Rp175,000,000-250,000,000/year | (IDR annual) | Comprehensive benefits package including: | Health, dental, and vision insurance | Paid time off and holidays | Professional development allowance | Certification sponsorship | Work Schedule | Full-time permanent position | Standard business hours with on-call rotation | Shift differentials for nights/weekends when applicable | Key Responsibilities | Install, configure, and maintain server and network equipment | Perform structured cabling (copper and fiber optic) | Execute hardware deployments and decommissions | Monitor environmental systems (power, cooling, security) | Respond to incidents and perform troubleshooting | Maintain accurate documentation and asset tracking | Collaborate with engineering and operations teams | Participate in capacity planning and upgrades | 3+ years data center operations experience | Expert cabling skills (Cat6/6a, OM3/OM4/OS2 fiber) | Strong troubleshooting and problem-solving abilities | Experience with rack and stack operations | Understanding of power distribution and UPS systems | Excellent documentation and communication skills | Ability to lift 50+ lbs and work in demanding environments | Data center certifications (CDCP, CDCS, CDCE) - preferred | Vendor certifications (Dell, HPE, Cisco) - preferred | Network certifications (CCNA, JNCIA) - preferred | Experience with DCIM platforms - preferred | Knowledge of ITIL practices - preferred","[""Cisco"", ""CCNA"", ""Troubleshooting""]"
Data Center Technician - Indonesia - Makassar - On-site,https://id.jobstreet.com/id/job/91366715?type=standard&ref=search-standalone&origin=cardTitle#sol=0d6c62f60583ce8588342f74c4253bbc27ae4f7e,RM Staffing B.V.,Makassar,"About the Role | Join our team as a | Data Center Technician | in | Makassar, Indonesia | . This is a full-time, on-site position where you'll support critical infrastructure at world-class data center facilities. | Compensation & Benefits | Rp175,000,000-250,000,000/year | (IDR annual) | Comprehensive benefits package including: | Health, dental, and vision insurance | Paid time off and holidays | Professional development allowance | Certification sponsorship | Work Schedule | Full-time permanent position | Standard business hours with on-call rotation | Shift differentials for nights/weekends when applicable | Key Responsibilities | Install, configure, and maintain server and network equipment | Perform structured cabling (copper and fiber optic) | Execute hardware deployments and decommissions | Monitor environmental systems (power, cooling, security) | Respond to incidents and perform troubleshooting | Maintain accurate documentation and asset tracking | Collaborate with engineering and operations teams | Participate in capacity planning and upgrades | 3+ years data center operations experience | Expert cabling skills (Cat6/6a, OM3/OM4/OS2 fiber) | Strong troubleshooting and problem-solving abilities | Experience with rack and stack operations | Understanding of power distribution and UPS systems | Excellent documentation and communication skills | Ability to lift 50+ lbs and work in demanding environments | Data center certifications (CDCP, CDCS, CDCE) - preferred | Vendor certifications (Dell, HPE, Cisco) - preferred | Network certifications (CCNA, JNCIA) - preferred | Experience with DCIM platforms - preferred | Knowledge of ITIL practices - preferred","[""Cisco"", ""CCNA"", ""Troubleshooting""]"
ICT Coordinator,https://id.jobstreet.com/id/job/91393153?type=standard&ref=search-standalone&origin=cardTitle#sol=9784e315e97543af6892e18902f03ffdd38b3ac0,Yayasan Pendidikan Kader Bangsa Indonesia,Gunung Sindur,"The ICT Coordinator is responsible for the planning, implementation, and day-to-day management of the school's information and communication technology systems. This role ensures that ICT infrastructure reliably supports academic delivery, administration, and boarding operations, while maintaining system security, data integrity, and service continuity. | Responsibilities | ICT Infrastructure & Systems Management | Manage and maintain the school’s ICT infrastructure, including networks, servers, internet connectivity, and end-user devices. | Ensure reliable operation of learning platforms, administrative systems, and communication tools. | Monitor system performance and address technical issues in a timely manner. | Coordinate system upgrades, maintenance schedules, and backups. | User Support & Service Delivery | Provide technical support to staff and students for approved systems and devices. | Establish and manage ICT support procedures, including helpdesk workflows and response timelines. | Support onboarding and offboarding processes by coordinating system access, accounts, and permissions. | Deliver basic user training and guidance on ICT tools as required. | Data Security & Access Control | Implement and monitor data security measures, including user access control and system permissions. | Ensure appropriate data backup, recovery, and protection protocols are in place. | Monitor compliance with school ICT policies and acceptable use guidelines. | Escalate data breaches, system vulnerabilities, or security incidents immediately to the Deputy Head of School – Operations. | Vendor Supervision & System Service Monitoring | Supervise ICT-related vendors: IT managed service, ELV systems, and access control. | Monitor system availability, reliability, and service response times. | Coordinate troubleshooting and corrective actions with vendors. | Maintain records of incidents, resolutions, and vendor performance. | Escalate critical system failures or security risks to Deputy Head of School – Operations. | Policy Implementation & Compliance | Implement ICT-related policies, SOPs, and operational guidelines. | Ensure ICT operations comply with institutional requirements and applicable regulations. | Support internal audits, reviews, and documentation related to ICT systems. | Reporting & Continuous Improvement | Prepare regular ICT operational reports, including system performance, incidents, and improvement needs. | Identify opportunities to improve system efficiency, reliability, and user experience. | Support digital initiatives that enhance operational effectiveness. | Requirements | Knowledge & Experience | Minimum Bachelor's degree (S1) in Information Technology, Computer Science, Information Systems, or related fields. | Minimum 3–5 years of experience in ICT operations, IT systems support, or infrastructure management. | At least 1–2 years of experience in a coordination or lead role (non-managerial). | Experience in education institutions, schools, or boarding environments is a strong advantage. | Technical / Specific Required Knowledge | Solid understanding of ICT infrastructure (networks, internet connectivity, servers, end-user devices). | Experience managing or supporting learning platforms, administrative systems, and communication tools. | Knowledge of system monitoring, backups, and basic disaster recovery procedures. | Understanding of data security, access control, and user permission management. | Familiarity with ICT asset management, licenses, and subscriptions. | Competencies & Personal Attributes | Strong problem-solving and analytical skills. | Good communication skills for cross-unit coordination and user support. | Able to prioritize issues and manage multiple ICT tasks simultaneously. | Detail-oriented with a strong sense of system reliability and security. | Responsible, structured, and service-oriented. | Calm and decisive in handling system issues or incidents. | Professional attitude in managing sensitive data and access.","[""Troubleshooting""]"
Project Coordinator,https://id.jobstreet.com/id/job/91717744?type=standard&ref=search-standalone&origin=cardTitle#sol=2347f61350502aa1b0f01d7d8cc72fd8af0d0e8f,PT Lantro Technologies Indonesia,Batam Kota,"About the role | We are seeking an experienced Project Coordinator to join our dynamic team at PT Lantro Technologies Indonesia. As a Project Coordinator, you will play a crucial role in the successful delivery of our telecommunications projects in Batam Kota Riau Islands. This is a full-time position that offers opportunities for career growth and development within our rapidly expanding organisation. | What you'll be doing | Coordinating and monitoring the progress of multiple telecommunications projects to ensure timely completion and adherence to budgets and quality standards | Acting as the primary point of contact between project stakeholders, including clients, vendors, and internal teams | Developing and maintaining detailed project plans, schedules, and status reports | Identifying and mitigating potential risks and issues, and implementing appropriate solutions | Facilitating effective communication and collaboration among cross-functional teams | Providing administrative support, such as organising meetings, preparing presentations, and managing project documentation | Continuously seeking opportunities to streamline processes and improve project efficiencies | What we're looking for | Minimum 3 years of experience in a project coordination or project management role, preferably in the telecommunications industry | Strong organisational and time management skills, with the ability to prioritise tasks and meet deadlines | Excellent communication and interpersonal skills, with the ability to liaise effectively with both technical and non-technical stakeholders | Proficient in using project management tools and software, such as Microsoft Project, Trello, or Asana | Familiarity with telecommunications technologies and industry standards | A team player with a proactive and problem-solving mindset | Relevant tertiary qualification or certification in project management or a related field | What we offer | At PT Lantro Technologies Indonesia, we are committed to providing a supportive and rewarding work environment for our employees. As a member of our team, you will have access to competitive remuneration, opportunities for professional development, and a range of employee benefits, including health insurance and a retirement plan. We also encourage a healthy work-life balance, with flexible working arrangements and regular team-building activities. | About us | PT Lantro Technologies Indonesia is a leading provider of innovative telecommunications solutions in the Riau Islands region. With a strong focus on excellence and customer satisfaction, we have established a reputation for delivering reliable and cutting-edge products and services. Our team of dedicated professionals is passionate about driving the industry forward and creating a positive impact in the communities we serve. | If you are excited about the prospect of joining our team and contributing to our continued success, we encourage you to apply for this role now. | Additional information: | Interview for this position will at our Jakarta office.",[]
IT Project Support (Entry Level),https://id.jobstreet.com/id/job/91339471?type=standard&ref=search-standalone&origin=cardTitle#sol=47afc5acca362177b166ee040f31402f5f799df5,SIP Global Solusi,Bali,"We are looking for a motivated and organized IT Project Support to join our team in Bali. This role is an entry-level, suitable for fresh graduates SMK or College/University, or candidates with up to 2 years of experience who are interested in technology and project coordination. You will support project activities, assist communication between teams, and help ensure work is completed on time. On-site role supporting client–IT coordination. Ideal for those who enjoy communication and a dynamic work environment. | Key Responsibilities | Project Documentation: | Maintain and update project documents, reports, and basic project tracking materials. | Coordination: | Assist in scheduling meetings, supporting project discussions, and taking clear meeting notes. | On-site Support & Communication Bridge: | Assist IT Consultant on project site by supporting communication between client and technical team. Act as a coordinator/mediator for updates and clarification, not involved in final technical or business decision-making. | Technical Support: | Support IT team with basic hardware/software troubleshooting and internal ticket handling when needed. | Project Tracking: | Help monitor project timelines, task progress, and general project updates using available tools. | Testing Support (UAT): | Assist in User Acceptance Testing (UAT) and help collect feedback from users and stakeholders. | Qualifications & Requirements | Experience: | Open for SMK graduates, fresh graduates, or candidates with up to 2 years of experience in IT support, administration, or coordination roles. | Education: | Open opportunity for SMK graduates with relevant interest or skills and Bachelor’s degree in Information Technology, System Information, IT Network or related field is welcome. | Languages: | Able to communicate in Bahasa Indonesia (written and verbal). Basic English is a plus. | Technical Skills: | Familiar with Microsoft 365 or Google Workspace is preferred, but not mandatory. Willingness to learn and adapt to new tools is more important. | Project Tools: | Familiarity with tools like Jira, ClickUp, or similar platforms is a plus, but not required. Training will be provided if needed. | Mindset: | Willing to learn, proactive, responsible, and able to handle multiple tasks in a dynamic environment. | Location: | Based in Bali or willing to relocate at own expense immediately. | Nice to Have | Basic understanding of IT Network Infrastructure. | Internship or project experience in IT, support, or coordination roles. | What We Offer | Competitive salary based on experience. | BPJS Kesehatan & Ketenagakerjaan. | Supportive and modern working environment. | Growth opportunities in a fast-growing tech industry.","[""Troubleshooting""]"
Platform Analyst,https://id.jobstreet.com/id/job/91776010?type=standard&ref=search-standalone&origin=cardTitle#sol=6404342aa62e2c1747db741538cb1525b3443e34,CGS International Sekuritas Indonesia,Jakarta Selatan,"Responsibilities: | Analyse user/BU requirement and translate it to a technical document. | Analyse performance requirement. | As a technical pair / advisor  of related vendor or internal developer. | Requirement : | Bachelor Degree in IT / Computer Science or equivalent. | Having work experience as platform analyst at least 1-2 years. | Proven experience as System Design, preferably in the fintech or banking industry. | Having Programming, Testing Skill or Literacy | Have knowledge of capital markets will be an advantage. | Strong analytical and decision-making skills. | Good communication skill, detail oriented, positive work attitude and responsive.",[]
Full Stack Developer,https://id.jobstreet.com/id/job/90406905?type=standard&ref=search-standalone&origin=cardTitle#sol=a5c52e13d8dbe0f00884445178c718c6da6f66bb,PT Eigerindo Multi Produk Industri,Bandung,"‍ | About Eiger | Eiger Adventure (EIGER) was established in 1989 as a brand that provides equipment and gear for outdoor enthusiasts. Operating under PT Eigerindo MPI, EIGER was born in Indonesia with the aim of becoming a companion and protector for anyone who wants to explore the tropical wilderness, especially in Indonesia. EIGER also aims to promote the name of Indonesia and the quality of Indonesian products on the international stage, particularly in the fashion retail industry. | ‍ | About the Job | As a Full Stack Developer, you will be at the forefront of our efforts to design, develop, integrate, and deploy cutting-edge digital products that meet the needs of our users and drive our business forward. You will collaborate with cross-functional teams, including designers, product managers, and other developers, to create seamless and user-friendly digital experiences. Your expertise in both front-end and back-end technologies will be instrumental in bringing our ideas to life and delivering high-quality solutions. | ‍ | What you will Need to Succeed : | Bachelor's degree in Informatics Engineering/Computer Science/Information Systems | Minimum of 3 years | of professional experience as a Full Stack Developer, working on both front-end and back-end technologies. | Proficiency in front-end frameworks such as | HTML5, CSS3, JavaScript | , and modern frameworks like | React, Angular, or Vue.js | . | Strong understanding of back-end frameworks such as | Laravel, Node.js, Python, Ruby, or Java | . | Mastering the creation of database architecture and SQL programming | Familiar in translating ERD, FSD, FDD, SRS into a program | Familiar with Gitlab, Github or SVN | Familiar with Figma, Adobe XD, or other mockup tools | Strong problem-solving skills and the ability to think critically and creatively to develop innovative solutions. | Excellent communication and collaboration skills, with the ability to work effectively in a team environment. | Willing to be placed in EIGER Head Office, Kab. Bandung | ‍ | Equal Opportunity Employer : | At EIGER, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. | ‍ | Visit Us : | ‍","[""Python"", ""SQL"", ""Java"", ""JavaScript"", ""Ruby"", ""React"", ""Vue"", ""Angular"", ""Figma"", ""Adobe XD"", ""Node.js"", ""Laravel"", ""GitHub"", ""GitLab""]"
IT,https://id.jobstreet.com/id/job/91654838?type=standard&ref=search-standalone&origin=cardTitle#sol=8c067aeec9b41883911a143d3534e23dd5755d13,PT. MITRA BUNTARI SEJAHTERA,Jakarta Utara,"About the role | We are seeking an experienced IT professional to join our dynamic team at PT. MITRA BUNTARI SEJAHTERA' in Jakarta Utara, Jakarta Raya. As an IT professional, you will play a crucial role in ensuring the smooth operation and security of our company's technology infrastructure. This full-time position offers the opportunity to work in a collaborative environment and contribute to the growth and success of our organisation. | What you'll be doing | Administering and maintaining our company's computer systems, networks, and related hardware and software | Troubleshooting and resolving IT-related issues in a timely manner | Server checking | Input data via DB | Get data request from the system/DB | Bug tracing and fixing server/backend | What we're looking for | Minimum 1 year of experience in IT administration or a related field | Strong understanding of network administration, system configuration, and troubleshooting | Proficiency in managing and maintaining Windows and/or Linux operating systems | Knowledge of networking protocols, hardware, and security best practices | Excellent problem-solving and analytical skills | Good communication and interpersonal skills | Certifications in relevant IT disciplines would be an advantage | What we offer | At PT. MITRA BUNTARI SEJAHTERA', we value our employees and strive to provide a rewarding and supportive work environment. In addition to a competitive salary, we offer a range of benefits, including: | Comprehensive health insurance coverage | Opportunities for professional development and career advancement | Flexible work arrangements and a work-life balance culture | Team-building activities and social events","[""Linux"", ""Networking"", ""Troubleshooting""]"
