Job Title,Job URL,Company,Location,Job Description,required_skills
ERP Technical Consultant (D365 Business Central),https://id.jobstreet.com/id/job/91400457?type=standard&ref=search-standalone&origin=cardTitle#sol=200b4f515f138edf244d457e454919c45b04dbc9,PT NSSOL Systems Indonesia,Jakarta Pusat,"Purpose of the position: | ERP Technical Consultant who can handle system development of large projects: including analyzing current system, managing development process, and balancing client’s requirements and system specifications. (We are currently focusing on Microsoft D365 BC) | Responsibilities: | Analyzing clients' existing systems and business models then provide solutions either using ERP system or other workarounds | Translating clients’ business requirements into detailed system requirements | Identifying options for potential solutions and assessing them for both technical and business suitability | Producing project feasibility, costings, schedule reports | Deliver demonstrations of our system to clients | Provide technical expertise of ERP solution (Configuration / Customization / Bug-fixing / Upgrade / Maintenance of ERP system). | Working closely with colleagues, vendors and a variety of end users to ensure technical compatibility and user satisfaction | Overseeing implementation of a new system to ensure quality including data migration | Identify system problem by doing debug and bug-fixing to meet expected quality and processes | Drawing up, supervising and documenting testing schedules and scenarios for complete systems | Providing training and user manuals to users of a new system | Supporting users on change control and system updates | Complete the system development process, satisfying quality, productivity, deadline of the project | During system development phase | Manages application software, application infrastructure in the assigned field. This includes installation, upgrades and patches, tuning, creating links and interfaces between systems, developing application-specific security, performance monitoring and troubleshooting. | Performs problem analysis to resolve system or application issues. Performs complex diagnosis of problems, providing solutions within area of responsibility. Coordinates implementation of fixes and enhancements. Provides backup for other analysts as required. Responds to critical issues during off hours when necessary. | Designs, writes, tests, implements, and maintains software, including tools for testing and delivery of applications. Creates and maintains system documentation. | Develops and manages internal procedures, tools, and documents to provide a high level of application integrity and availability and to ensure timely, effective support. This includes writing scope documents, managing source code, and developing technical support standards and procedures. | Conducts product evaluations, participates in vendor selection, negotiates price and support options, and fosters vendor partnerships. | *  (E) : Essential,   (D) : Desirable | Experience of | At least 5 ERP System Introduction Projects over 1,000.000.000 IDR (excluding software and hardware) by him/herself with satisfying quality, productivity, deadline of the project. (E) | Working as ERP Technical Consultant at least 5 years. (E) | Understanding software development lifecycle. (E) | Developing software for manufacturing, distribution, retail and/or logistics companies. (D) | Involved in at least 3 full cycle of software implementation project for manufacturing industry (D) | Having experience with Japanese company/client. (D) | Skills | Microsoft D365 BC development, implementation skill (E) | SQL Server, SSRS, SSAS, SSIS, IIS (E) | Requirement definition, solution design, test planning skill (E) | Analysis and System Design skills (E) | Advanced technical documentation skill. Those documents will be written by English and include  but not limited to System architecture, Solution design, Coding guidelines. (E) | Effective interpersonal and communication in English and Bahasa (verbal and written) skills (E) | Other ERP solution (Microsoft Axapta, NAVision / SAP / MCFrame) (D) | Microsoft Dynamics CRM, Retail (D) | Azure services (D) | Able to communicate in Japanese (business communication) will be a big Plus (D). | Personality & Attitude (E): | Team player, able to take initiative and lead team | Assertive, able to motivate team | Quick Learner, willing to learn a new system | Able to work under tight schedule. | Language | English: be able to read and write business documents, and communicate in business meeting (E) | Japanese: communicate in business meeting (D)","[""SQL"", ""Azure"", ""Troubleshooting""]"
Cloud Engineer / DevOps Engineer,https://id.jobstreet.com/id/job/91845778?type=standard&ref=search-standalone&origin=cardTitle#sol=99f5390eb4ad3a4ec2945ae651bf2367beaafd42,PT EVOLUSI TEKNOLOGI SOLUSI,Jakarta Pusat,"PT EVOLUSI TEKNOLOGI SOLUSI, sebuah perusahaan IT Consultant di Indonesia, saat ini sedang mencari seorang | Cloud Engineer & DevOps Engineer | yang berpengalaman dan berbakat untuk penempatan di klien kami di Jakarta Pusat (banking). Sebagai Cloud Engineer atau DevOps Engineer (salah satu), Anda akan memainkan peran kunci dalam mengembangkan dan menjaga infrastruktur cloud dan otomasi proses kami, dengan fokus pada efisiensi, keandalan, dan skalabilitas. | Persyaratan | Gelar sarjana dalam Ilmu Komputer, Teknologi Informasi, atau bidang terkait. | Minimal 3 tahun pengalaman sebagai Cloud Engineer atau DevOps Engineer dalam lingkungan enterprise. | Berpengalaman menggunakan platform cloud publik seperti AWS, Azure, atau Google Cloud. | Mahir dalam alat DevOps seperti Jenkins, Docker, Kubernetes, dan Terraform. | Pengetahuan mendalam tentang konsep dan praktik DevOps, termasuk CI/CD, pemantauan, dan pemecahan masalah. | Kemampuan berkomunikasi yang baik dan kemampuan berkolaborasi dengan tim pengembangan. | Proaktif, berorientasi pada penyelesaian masalah, dan kemampuan belajar cepat.","[""AWS"", ""Azure"", ""Docker"", ""Kubernetes"", ""CI/CD"", ""Jenkins""]"
AI Engineer,https://id.jobstreet.com/id/job/91724919?type=standard&ref=search-standalone&origin=cardTitle#sol=f7e85a894716d9a8cbd99e733a5e3270a3d2573a,AME Mineral Economics Pty Ltd,Jakarta Selatan,"Role: AI Engineer | Location: | Jakarta | Position Type: | Full-time | Reports to: | CTO | About the Role | We are seeking an ML Engineer to own the AI and machine learning capability within an established cross-functional team. You will be the subject matter expert on LLMs, document AI, and RAG pipelines — working alongside experienced software developers, data engineers, and database engineers. | The role has a clear long-term roadmap: helping shape the logic of our document crawler, building ML pipelines that extract and populate structured databases, and ultimately delivering an internal chatbot grounded in our own ground-truth data. You will be joining a collaborative team where software developers, data engineers, and database architects will help support the surrounding infrastructure. The ideal candidate would combine strong software engineering fundamentals with hands-on experience in web crawling, document AI, RAG pipelines, and LLM tool integration — and is comfortable taking a system from prototype to production. | Key Responsibilities | Collaborate with the software development and data engineering teams on the company document crawler — contributing to crawler logic, defining document targeting requirements, and advising on ML-driven enhancements to improve discovery, classification, and retrieval of company documents (annual reports, regulatory filings, press releases). | Develop and fine-tune workflows combining SLMs (small language models), LLMs, and rule-based methods for accurate and explainable data extraction. | Architect and build the chatbot interface that grounds LLM responses in our structured databases and PDF corpus, using RAG and MCP-based tool calling to ensure answers are traceable to source data. | Integrate relevant open-source tools across the full stack: crawling (Scrapy, Playwright), document parsing (pdfplumber, Camelot, Tabula, Docling), ML/NLP (Hugging Face, LangChain, LlamaIndex), vector stores (Qdrant, pgvector), and LLM serving (Ollama, vLLM) — selecting self-hosted vs. API-based options based on data sensitivity requirements. | Implement evaluation frameworks (accuracy, latency, cost) and maintain benchmarks for extraction quality. | Ensure robust engineering practices: testing, version control, CI/CD pipelines, containerization, and cloud deployment. | Contribute to research and stay up to date with advances in document AI, new libraries and new techniques. | Qualifications | Education: BSc (or higher) in Computer Science, Software Engineering, or related field. | Experience: 3+ years of professional experience as a Machine Learning Engineer, AI Engineer, or NLP Engineer. | Technical Skills (Required): | Demonstrated experience building tools that leverage LLMs/SLMs for text and document understanding. | Experience building web crawlers or scrapers (e.g. Scrapy, Playwright, BeautifulSoup) including handling rate limiting, dynamic content, and document deduplication | Strong programming skills in Python | Experience with document parsing libraries (pdfplumber, Camelot, Tabula, or Docling) and an understanding of the challenges of table extraction, multi-column layouts, and scanned documents | Hands-on use of vector databases (e.g., Chroma, Pinecone, Weaviate) for retrieval-augmented generation. | Strong background in software engineering best practices (Git, CI/CD, testing) | Nice to Have: | Knowledge of financial or commodity reporting standards and typical document structures (annual reports, earnings releases, regulatory filings). | Experience deploying AI workloads in Microsoft Azure | Familiarity with MCP (Model Context Protocol) and building tool-calling integrations that connect LLMs to structured databases or document stores | Experience self-hosting LLMs locally using tools such as Ollama or vLLM, with an understanding of the trade-offs between local inference and cloud API usage | Familiarity with API design for ML deployment | Soft Skills | Ability to work collaboratively with business stakeholders. | Excellent communication skills to explain AI model behaviour and limitations to non-technical teams. | What We Offer | Opportunity to build a greenfield AI product in the mineral economics domain. | Work with cutting-edge LLM and AI tools. | Modern, central office near to public transport and key amenities | Competitive salary","[""Python"", ""Azure"", ""Git"", ""CI/CD"", ""API"", ""Machine Learning"", ""NLP"", ""Data Engineering"", ""LLM""]"
ERP Consultant,https://id.jobstreet.com/id/job/91367689?type=standard&ref=search-standalone&origin=cardTitle#sol=6b2bd2fceff48c7980137ae9fd7411c879c0f143,PT Talentvis Consulting Indonesia,Jakarta Raya,"Job Descriptions: | 1. Requirement Gathering & Analysis | - Maintain issue list, as/is and to-be flow document | - Make a resolution of the gaps found. | 2. System Configuration/Setup | 3. Implementation | - Data migration | - System testing (UAT, SIT) | 4. Training & Support | - Develop user manuals and training materials | - Conduct training sessions for end-users and support teams. | 5. Process Improvement | Requirements : | Minimum education level: Bachelor’s degree in Engineering, Production Engineering, IT, or related fields. | Work experience as a consultant, ERP system implementer, or in a related field. | Understanding of the manufacturing industry is a MUST. | Knowledge of ERP systems. | Strong communication skills and the ability to lead a team. | Proficiency in English communication. | Strong analytical skills and problem-solving abilities.",[]
PYTHON DEVELOPER (PD),https://id.jobstreet.com/id/job/91346019?type=standard&ref=search-standalone&origin=cardTitle#sol=837f31fe7c6aa3d6132681d2ed783ad6c174547d,PT Plexis Erakarsa Pirantiniaga (Plasmedia),Jakarta Utara,"Python Developer (Code: PD) | PT Plexis Erakarsa Pirantiniaga (Plasmedia) | is an established IT leader in Jakarta, providing innovative enterprise solutions since 1998. We are looking for a skilled and dedicated | Python Developer | to contribute to our mission of delivering excellence across various industries. | Key Responsibilities: | System Development: | Design, develop, and maintain high-performance software solutions using the Python programming language tailored for enterprise needs. | Front-End Integration: | Collaborate on user interface development by implementing responsive designs using HTML5, CSS3, Bootstrap, and jQuery. | Database Management: | Architect and optimize relational database systems, including PostgreSQL, MS SQL Server, or Oracle, to ensure data integrity and system efficiency. | Enterprise Solutions: | Build and customize functional modules for ERP (specifically Odoo), CRM, and Web-based Content Management Systems (CMS). | Code Quality: | Uphold high standards of software engineering by writing clean, well-structured, and thoroughly documented code. | Project Coordination: | Utilize Microsoft Project and Office tools to manage workflows, ensuring all project milestones and deadlines are met effectively. | Field Deployment: | Demonstrate flexibility and readiness to travel for temporary project-based assignments at client locations. | Technical Proficiencies: | Core: | Python Programming, HTML5, CSS3, JavaScript, and Bootstrap. | Database: | PostgreSQL, Microsoft SQL Server, or Oracle Database. | Systems: | ERP (Odoo), CRM, and CMS. | Tools: | Microsoft Office and Microsoft Project. | Value-Add: | Experience with DotNetNuke (DNN) or Unified Modeling Language (UML) is a significant advantage. | Qualifications: | Bachelor’s Degree (S1) in Computer Science, Information Technology, or a related field from a reputable institution. | Minimum of | 1 year | of professional experience in Python development. | Fluency in both | Bahasa Indonesia and English | (written and verbal). | Strong analytical thinking, attention to detail, and the ability to work both independently and within a collaborative team environment. | Application Requirements: | To apply, please provide the following documents: | Current Résumé or Curriculum Vitae. | Copy of a valid ID card (KTP). | Recent color photograph (3 x 4 cm). | Copy of University/Institute Diploma and latest Academic Transcript. | Copy of your professional Work Portfolio. | Note: Shortlisted candidates will be required to bring hard-copy versions of these documents for the interview phase.","[""Python"", ""SQL"", ""JavaScript"", ""PostgreSQL"", ""Oracle""]"
Data Center Project Manager (Telco Industry),https://id.jobstreet.com/id/job/91419343?type=standard&ref=search-standalone&origin=cardTitle#sol=a2c4cd33b9513c21cc5dd6afefcdd62a47fb56b7,Perusahaan Dirahasiakan,Jakarta Selatan,"Main Responsibility : | 1. Develop comprehensive project plans, including schedules, resource allocation, and budgets. | 2. Conduct project kickoff meetings and communicate project expectations to team members and stakeholders. | 3. Lead and coordinate project teams consisting of engineers, technicians, and other professionals. | 4. Monitor project progress, track milestones, and deliverable using appropriate tools and techniques. | 5. Identify and resolve issues and risks that may impact project delivery. | 6. Manage change in project scope schedule, and costs effectively. | 7. Communicate regularly with customers to understand their requirements, address concerns, and ensure satisfaction. | 8. Ensure all deliverable meet quality standards and comply with contractual obligations. | 9. Monitor project budgets and expenditures, and ensure financial objectives are met. | 10. Motivate project team members and foster a collaborative team environment. | 11. Perform other tasks assigned by the superior according to the company’s needs. | Job Specification : | Min Bachelor Degree in Engineering background or similar. | Strong on-site technical knowledge. | Proven experience handle Data Center Project. | Strong in Leadership, communication and negotiation.",[]
OTN Engineer,https://id.jobstreet.com/id/job/91500615?type=standard&ref=search-standalone&origin=cardTitle#sol=6f9b77d5c886fb36be230c024bd948b230469d6a,PT Fiberhome Technologies Indonesia,Jakarta Barat,"Job Requirement: | College and above degree, major in telecommunication, or computer science related. | 2+ years working experience, will be preferred if have working experience in any telecommunication vendor company. | Good health condition, diligent, willing to do business travel in all around Indonesia. | Basic knowledge of telecommunication, professional on OTN installation, commissioning & integration and the procedure of implementation. | Good sense of communication, team work and organization. | Understand English and local language; proficiency in English communication. | Job Responsibility: | Responsible for OTN installation, commissioning, integration. | Responsible for Quality control during OTN installation, commissioning, integration. | Responsible for OTN troubleshooting, issue analysis and restoration. | Responsible for maintenance department relationship. | Work homebase Jakarta Area. | Apply now to become our next OTN Engineer!","[""Troubleshooting""]"
Odoo Business Analyst,https://id.jobstreet.com/id/job/91512736?type=standard&ref=search-standalone&origin=cardTitle#sol=228b63653e8f4d6fb0dd90835019273818557b21,PT. Ecotekno Anugerah Karya,Kebon Jeruk,"Requirements | • General understanding of what an ERP system does. | • Familiarity with the purpose of modules like Sales, CRM, Purchase, Inventory, Accounting, and HR. | • Prior exposure to Odoo (through internships, training, or academic projects) is a big plus. | • Ability to gather and document business requirements. | • Understands basic process mapping (can use tools like Lucidchart, Draw.io, or even Visio). | • Can analyze simple business workflows and suggest basic improvements. | • Curious and eager to dig into how things work in a business. | • Able to write meeting notes, summaries, and requirement documents. | • Willing to learn functional aspects of Odoo and ERP concepts. | - Willing to travel to project site all over Indonesia to conduct training and audit the implementation of Odoo ERP | Education | • Bachelor’s degree in: | o Business Administration | o Information Systems | o Computer Science | o Finance, Accounting, or a related field | Experience | • 2+ years of experience in: | o Business analysis | o ERP systems | • Odoo-specific experience is a plus",[]
DevOps Engineer,https://id.jobstreet.com/id/job/91779286?type=standard&ref=search-standalone&origin=cardTitle#sol=e1b1c82e99ce73ff0c23f3b4453300c7efffdc89,PT Digdaya Duta Digital,Setiabudi,"DevOps Engineer – Dens AI | Dens AI is looking for an experienced DevOps Engineer to manage and optimize infrastructure, ensure system security, and maintain CI/CD pipelines to support reliable and secure AI system operations. | Responsibilities | Manage and automate infrastructure to ensure optimal performance and scalability | Ensure the security, reliability, and availability of systems and applications | Manage and maintain CI/CD pipelines for efficient development and deployment | Collaborate with development and AI teams to support system operations | Requirements | Minimum | 5 years of experience | in DevOps, cloud infrastructure, or system operations | Bachelor’s degree (S1) in Computer Science, Engineering, or a related field | Strong understanding of infrastructure management, system security, and CI/CD practices | Good problem-solving skills and ability to work collaboratively in a team","[""CI/CD""]"
PM Data,https://id.jobstreet.com/id/job/91414350?type=standard&ref=search-standalone&origin=cardTitle#sol=dc2c1032ddb6175c8d3f305bf9d83d8569133b26,PT Sinergi Mitrajaya Abadi,Jakarta Barat,"Our client is a company in the Banking sector who is looking for a position as an | PM Data | with the following qualifications and job descritions : | Requirement : | Bachelor’s degree in Information Technology/System, Data Analytics, Computer Science, or a related field | Have min 2 years of experience as software | PM Data | Strong knowledge of SQL and databases (Oracle, Postgre, Cloudera, Impala, Hive). | Strong understanding of data transformation and ETL (Extract, Transform, Load) processes. | Experience with Talend or similar data integration platforms (ODI/Pentaho) and streaming technologies such as Kafka. | Excellent communication skills (written and verbal) with the ability to effectively engage both business and technical teams. | Experience with agile methodologies and the product development lifecycle. | Knowledge of the banking industry is a plus. | Scope of work : | Collaborate with business users to understand data and reporting needs (especially in debit and credit card domains) and translate them into clear product requirements. | Ensure reporting requirements are aligned with standardized data models, governance practices, and enterprise data definitions. | Create comprehensive datamart requirements, including detailed source-to-target mappings, transformation logic, and business rules to ensure accurate and consistent data modeling. | Develop and maintain the data integration platform, including ETL tools such as Talend as well as data streaming and Change Data Capture (CDC) technologies such as Kafka. | Work closely with engineering teams to communicate and groom development scope, ensure clear understanding of data product requirements, and monitor development progress for timely and accurate delivery. | Partner with QA teams to validate data tables, datamart structures, and ETL pipelines, ensuring accuracy, completeness, and alignment with business rules. | Monitor daily ETL jobs to ensure timely, reliable, and high-quality data processing. | Benefit : | Laptop available | THR | BPJS Kesehatan | BPJS Ketenagakerjaan","[""SQL"", ""Oracle"", ""Agile"", ""QA""]"
