posted_date,job_title,skill_name,job_link
Posted 2 months ago,Backend Developer,Docker,https://glints.com/id/opportunities/jobs/backend-developer/be73f16b-aba2-4350-af1f-7ea43181c399?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Posted 2 months ago,Backend Developer,PostgreSQL,https://glints.com/id/opportunities/jobs/backend-developer/be73f16b-aba2-4350-af1f-7ea43181c399?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Posted 2 months ago,Backend Developer,MongoDB,https://glints.com/id/opportunities/jobs/backend-developer/be73f16b-aba2-4350-af1f-7ea43181c399?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 6 hari yang lalu,Backend Developer (Intermediate/Senior Backend Developer),Docker,https://glints.com/id/opportunities/jobs/backend-developer-intermediate-senior-backend-developer/24837791-e9d3-4179-a69c-33eecb94d1bb?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 6 hari yang lalu,Backend Developer (Intermediate/Senior Backend Developer),Kubernetes,https://glints.com/id/opportunities/jobs/backend-developer-intermediate-senior-backend-developer/24837791-e9d3-4179-a69c-33eecb94d1bb?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 6 hari yang lalu,Backend Developer (Intermediate/Senior Backend Developer),PostgreSQL,https://glints.com/id/opportunities/jobs/backend-developer-intermediate-senior-backend-developer/24837791-e9d3-4179-a69c-33eecb94d1bb?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 6 hari yang lalu,Backend Developer (Intermediate/Senior Backend Developer),CI/CD Pipeline,https://glints.com/id/opportunities/jobs/backend-developer-intermediate-senior-backend-developer/24837791-e9d3-4179-a69c-33eecb94d1bb?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 24 hari yang lalu,Backend Developer,Java,https://glints.com/id/opportunities/jobs/backend-developer/cf18fb16-3b11-4f79-8394-62734b6f0043?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 24 hari yang lalu,Backend Developer,Git,https://glints.com/id/opportunities/jobs/backend-developer/cf18fb16-3b11-4f79-8394-62734b6f0043?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 24 hari yang lalu,Backend Developer,MongoDB,https://glints.com/id/opportunities/jobs/backend-developer/cf18fb16-3b11-4f79-8394-62734b6f0043?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 24 hari yang lalu,Backend Developer,Node.js,https://glints.com/id/opportunities/jobs/backend-developer/cf18fb16-3b11-4f79-8394-62734b6f0043?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 24 hari yang lalu,Backend Developer,Linux,https://glints.com/id/opportunities/jobs/backend-developer/cf18fb16-3b11-4f79-8394-62734b6f0043?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 7 hari yang lalu,Backend Developer,Java,https://glints.com/id/opportunities/jobs/backend-developer/daff1214-dc69-43cc-a82e-1093647a1f31?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 7 hari yang lalu,Backend Developer,Node.js,https://glints.com/id/opportunities/jobs/backend-developer/daff1214-dc69-43cc-a82e-1093647a1f31?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 7 hari yang lalu,Backend Developer,PostgreSQL,https://glints.com/id/opportunities/jobs/backend-developer/daff1214-dc69-43cc-a82e-1093647a1f31?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 20 hari yang lalu,Backend Developer (Golang),GitHub Actions,https://glints.com/id/opportunities/jobs/backend-developer-golang/43cc9466-fd0b-4fd5-9c4a-58384af18487?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 20 hari yang lalu,Backend Developer (Golang),Kubernetes,https://glints.com/id/opportunities/jobs/backend-developer-golang/43cc9466-fd0b-4fd5-9c4a-58384af18487?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
